,객체소분류,부위위치
0,PSC빔,['하부(아래)' '거더 강연선 정착대' '상부(위)' nan]
1,RCS발판,['바닥']
2,가물막이,['바닥']
3,가설계단,"['바닥' '지하' '가설계단에서' '고소' '상부(위)' '하부(아래)' '옥상계단발판하부' '안전계단 발판 및 손잡이' '옆'
 '103동 2층 계단실' '높이 87CM 계단 (사진첨부)' '마지막계단 2~3단' '찬넬' nan '중간발판']"
4,가설도로,['앞' '지하차도 입구' nan]
5,강관동바리,"['앞' '상부(위)' '옆' '바닥' '하부(아래)' '운반 중 미끄러짐' '고소' '자재정리 및 설치 진행' '지하' '전도'
 '철근버팀 기대어놓은 파이프 넘어짐' '몸통' '거푸집 옆 강관동바리' '상부 작업후 남은 사각파이프 자재 아래로 낙하' nan
 '통바리가 넘어짐']"
6,강박스,[nan]
7,개구부,['하부(아래)' '지하' '상부(위)' '바닥' '엘리베이터 개구부' '고소' '앞' nan]
8,거더,['바닥' '고소' '하부(아래)' '상부(위)' '거푸집부재(멍에재)' nan '지하']
9,거푸집,"['상부(위)' '바닥' '벽체 거푸집' '고소' '앞' '옆' '슬래브 바닥' '상차' '지하' '하부(아래)'
 '1m 높이 말비계' '2층 옹벽' '수로암거 벽체 유로폼' '부딪힘' '외주부 해체' '환기구 개구부(개구부덮개)' '걸고리쇠'
 '외벽' '거푸집 합판 절단작업' '6구간 5층 벽체' '-' '내부벽' '내측' '1층 벽체'
 '시스템동바리 수평재에 의한 우측어깨 상해' '난간' '세대내' '2층 보 형틀' '벽체' '상부 보 슬라브'
 '지하층 램프 외부 출입구' '벽면' '지하 주차장1층 외벽' '13층 슬라브 거푸집' '옹벽 거푸집 벽체' '낙하'
 '거푸집 작업 중 고정작업' '옥상 파라팻 벽체' '성토부' '102동 피로티 슬리브 위에서 걸려넘어짐'
 '확인차 이동(102동 피로티1층계단)' '자재' '정리작업' '모서리' '계단실' '보거푸집' '설치중 바닥문제' '손가락 협착'
 '인접주변' '기둥' '합벽' '하부' '보와 보사이 기둥철근 돌출부' '사용이 완료된 거푸집' '거푸집 운반 중 사고'
 '1층 외벽 내부 거푸집' '거푸집 묶음' '적치물' '내벽형틀' '.' '거푸집 계단' '유로폼' '형틀제작' '거푸집 벽체'
 '하역작업' '라이닝폼 내부' '교량 교대 거푸집 해체' '기타' '약 1.5m높이의 위치' '거푸집 고정' '기초 거푸집'
 '거푸집 작업중' nan '적재' '개구부' '거푸집과 비계 사이' '벽체거푸집' '터널 라이닝 폼' '4층 외벽'
 '3층 계단실 상부' '벽체지' '거푸집 자재 이동중' '가설자재 야적장' '거푸집 조립완료 후' '거푸집핀제거']"
