시설물 대분류,시설물 중분류,시설물 소분류
건물,건축물,근린생활시설
건물,건축물,공동주택
건물,건축물,기타
건물,건축물,단독주택
건물,건축물,공장
건물,건축물,창고시설
건물,건축물,교육연구시설
건물,건축물,업무시설
건물,건축물,운동시설
건물,건축물,노유자시설
건물,건축물,종교시설
건물,건축물,숙박시설
건물,건축물,수련시설
건물,건축물,문화 및 집회시설
건물,건축물,교정 및 군사시설
건물,건축물,자동차 관련시설
건물,건축물,의료시설
건물,건축물,방송통신시설
건물,건축물,운수시설
건물,건축물,판매시설
건물,건축물,동물 및 식물 관련시설
건물,건축물,위험물 저장 및 처리시설
건물,건축물,묘지관련시설
건물,건축물,관광 휴게시설
건물,건축물,위락시설
건물,건축물,장례시설
산업환경설비,발전시설,-
산업환경설비,산업생산시설,제철공장
산업환경설비,산업생산시설,석유화학공장
산업환경설비,환경시설,환경오염방지시설
산업환경설비,환경시설,하수처리시설
산업환경설비,환경시설,공공폐수처리시설
산업환경설비,환경시설,소각장
산업환경설비,환경시설,수처리설비시설
산업환경설비,환경시설,중수도/하폐수처리수 재이용시설
조경,공원,-
조경,기타,-
조경,생태공원,-
조경,수목원,-
조경,숲,-
조경,정원,-
토목,공동구,-
토목,교량,도로교량
토목,교량,철도교량
토목,교량,기타
토목,교량,복개구조물
토목,기타,부지조성
토목,기타,간척매립
토목,댐,용수전용댐
토목,댐,다목적댐
토목,댐,기타
토목,댐,홍수전용댐
토목,도로,도로
토목,도로,기타
토목,상하수도,하수도
토목,상하수도,기타
토목,상하수도,상수도
토목,옹벽 및 절토사면,기타
토목,옹벽 및 절토사면,옹벽
토목,옹벽 및 절토사면,절토사면
토목,철도,지하철
토목,철도,일반 및 고속철도
토목,철도,기타
토목,터널,철도터널
토목,터널,지하차도
토목,터널,도로터널
토목,터널,기타
토목,하천,제방
토목,하천,보
토목,하천,수문/통문
토목,하천,기타
토목,하천,관개수로
토목,하천,배수펌프장
토목,항만,기타
토목,항만,계류시설
토목,항만,호안
토목,항만,방파제
토목,항만,갑문
토목,항만,파제제
