doc_code,t1,t2,t3,t4,c1,c2,c3,c4,title,content,image,table,appendix,math_exp,attachment,reference,enclosure_image,enclosure,asterisk,appendix_table
C-114-2020,4.,,,,,,,,덤프트럭과 화물자동차의 종류,,,,,,,,,,,
C-114-2020,4.,4.1,,,,,,,덤프트럭의 종류,"국내 건설현장에서 주로 사용하는 덤프트럭은 하대 개방 방식, 구동 방식, 차축수에 따라 구분되며 그에 따른 분류는 다음과 같다.
",,,,,,,,,,
C-114-2020,4.,4.1,,,(1),,,,,"하대 개방방식에 의한 구분, 덤프트럭은 하대 개방방식에 따라 후면과 하면 및 측면 개방식으로 분류한다.
",,,,,,,,,,
C-114-2020,4.,4.1,,,(1),(가),,,,후면개방식(Rear Dump): 적재물을 <그림 1>과 같이 뒷쪽으로 내릴 수 있는 구조의 덤프트럭으로 건설현장에서 주로 사용한다.,,,,,,,,,,
C-114-2020,4.,4.1,,,(1),(나),,,,하면개방식(Bottom Dump): 적재물을 <그림 2>와 같이 아래로 내릴 수 있는 구조의 덤프트럭 이다.,,,,,,,,,,
C-114-2020,4.,4.1,,,(1),(다),,,,측면개방식(Side Dump): 적재물을 <그림 3>과 같이 옆으로 내릴 수 있는 구조의 덤프트럭 이다.,<그림 1_3>,,,,,,,,,
C-114-2020,4.,4.1,,,(2),,,,,"구동 방식에 의한 구분, 덤프트럭은 엔진의 동력을 전달하는 방식에 따라 후륜․전륜․4륜 구동방식으로 분류한다.
",,,,,,,,,,
C-114-2020,4.,4.1,,,(2),(가),,,,후륜 구동식(Rear Wheel Drive): 동력이 <그림 4>와 같이 후륜으로 전달되어 구동되는 방식이다.,,,,,,,,,,
C-114-2020,4.,4.1,,,(2),(나),,,,전륜 구동식(Front Wheel Drive): 동력이 <그림 5>와 같이 전륜으로 전달되어 구동되는 방식이다.,,,,,,,,,,
C-114-2020,4.,4.1,,,(2),(다),,,,4륜 구동식(Four Wheel Drive): 동력이 <그림 6>과 같이 전륜과 후륜으로 전달되어 구동되는 방식이다.,<그림 4_6>,,,,,,,,,
C-114-2020,4.,4.1,,,(3),,,,,"차축수에 의한 구분, 덤프트럭은 차축수에 따라 2축, 3축, 다축식으로 분류한다.
",,,,,,,,,,
C-114-2020,4.,4.1,,,(3),(가),,,,2축식: 휠(Wheel)을 회전시키는 축대(Axle)가 2개인 <그림 7>과 같은 덤프트럭을 말한다.,,,,,,,,,,
C-114-2020,4.,4.1,,,(3),(나),,,,3축식: 휠(Wheel)을 회전시키는 축대(Axle)가 3개인 <그림 8>과 같은 덤프트럭을 말한다.,,,,,,,,,,
C-114-2020,4.,4.1,,,(3),(다),,,,다축식: 휠(Wheel)을 회전시키는 축대(Axle)가 4개 이상인 <그림 9>와 같은 덤프트럭으로 건설현장에서 가장 많이 사용하고 있다.,<그림 7_9>,,,,,,,,,
C-114-2020,4.,4.2,,,,,,,화물자동차의 종류,"국내 건설현장에서 주로 사용하는 화물자동차는 최대 적재중량, 유형, 업종에 따라 구분되며 그에 따른 화물자동차의 분류는 다음과 같다.
",,,,,,,,,,
C-114-2020,4.,4.2,,,(1),,,,,최대 적재중량에 따른 분류,,,,,,,,,,
