,doc_code,t1,t2,t3,t4,c1,c2,c3,c4,title_category,content_category,group,title,content,image,picture,table,appendix,math_exp,attachment,reference,enclosure_image,enclosure,asterisk,appendix_table
0,C-24-2011,4.0,,,,,,,,규정,,m,단순 슬래브 콘크리트 타설 작업 시 안전작업 절차,단순 슬래브 콘크리트 타설 작업시 <그림 1>과 같은 순서에 준하여 안전작업절차를 준수하여야 한다.,<그림 1>,,,,,,,,,,
1,C-24-2011,5.0,,,,,,,,규정,,,공사계획 수립 시 검토사항,"콘크리트 타설 작업 전 공정관리, 안전관리 등을 위해서 설계도서 및 시방서, 주변 여건 등을 검토하여 안전작업계획서를 작성하여야 한다.",,,,,,,,,,,
2,C-24-2011,5.0,,,,(1),,,,,규정,,,설계도서의 검토,,,,,,,,,,,
3,C-24-2011,5.0,,,,(1),(가),,,,규정,m,,콘크리트 강도 및 배합 사항을 검토하여야 한다.,,,,,,,,,,,
4,C-24-2011,5.0,,,,(1),(나),,,,규정,m,,"건축물의 연면적 및 층고, 입면도를 충분히 검토하여 타설 공법의 선정을 검토하여야 한다.",,,,,,,,,,,
5,C-24-2011,5.0,,,,(1),(다),,,,규정,m,,슬래브 시공이음 부분을 확인하여야 한다.,,,,,,,,,,,
6,C-24-2011,5.0,,,,(1),(라),,,,규정,m,,1회 타설량을 결정하여 무리한 작업을 금지하여야 한다.,,,,,,,,,,,
7,C-24-2011,5.0,,,,(1),(마),,,,규정,m,,"추락, 붕괴, 감전사고 등의 위험요인을 파악하여 그에 적합한 안전시설 설치계획을 수립하여야 한다.",,,,,,,,,,,
8,C-24-2011,5.0,,,,(2),,,,,규정,,,콘크리트의 타설 방법 검토,,,,,,,,,,,
9,C-24-2011,5.0,,,,(2),(가),,,,규정,m,,콘크리트의 운반 방법을 검토하여야 한다.,,,,,,,,,,,
10,C-24-2011,5.0,,,,(2),(나),,,,규정,m,,콘크리트 타설 기계 및 설비를 검토하여야 한다.,,,,,,,,,,,
11,C-24-2011,5.0,,,,(2),(다),,,,규정,m,,수직.수평 분리타설 등 타설 공법을 검토하여야 한다.,,,,,,,,,,,
12,C-24-2011,5.0,,,,(2),(라),,,,규정,m,,"타설 높이, 슈트의 이동간격 등 타설 방법을 검토하여야 한다.",,,,,,,,,,,
13,C-24-2011,5.0,,,,(2),(마),,,,규정,m,,다짐 방법 및 인원.장비의 배치계획을 검토하여야 한다.,,,,,,,,,,,
14,C-24-2011,5.0,,,,(2),(바),,,,규정,m,,"콘크리트 펌프카의 전도방지조치, 펌프카 또는 압송관의 안전조치계획을 검토하여야 한다.",,,,,,,,,,,
15,C-24-2011,5.0,,,,(3),,,,,규정,,,콘크리트의 타설 순서 검토,,,,,,,,,,,
16,C-24-2011,5.0,,,,(3),(가),,,,규정,m,,층고 및 평면을 고려하여 일체 타설 및 분리 타설을 검토하여야 한다.,,,,,,,,,,,
17,C-24-2011,5.0,,,,(3),(나),,,,규정,,,시공이음의 위치를 검토하여야 한다.,,,,,,,,,,,
18,C-24-2011,5.0,,,,(3),(나),①,,,규정,m,,"이음의 위치는 구조적으로 전단력이 가능한 작게 작용하는 위치, 시공적으로 콘크리트 타설량, 거푸집.동바리 강도, 철근배근 상황을 고려하여 끊어치기가 용이한 곳이어야 한다.",,,,,,,,,,,
19,C-24-2011,5.0,,,,(3),(나),②,,,규정,m,,슬래브의 이음은 스팬(Span)의 중앙부에서 수직으로 처리하여야 한다.,,,,,,,,,,,
20,C-24-2011,5.0,,,,(3),(다),,,,규정,m,,각 개소의 타설량을 검토하여야 한다.,,,,,,,,,,,
21,C-24-2011,5.0,,,,(3),(라),,,,규정,m,,타설 소요시간을 검토하여야 한다.,,,,,,,,,,,
22,C-24-2011,5.0,,,,(3),(마),,,,규정,m,,타설 순서 및 끊어치기 부위 등을 검토하여야 한다.,,,,,,,,,,,
23,C-24-2011,5.0,,,,(3),(바),,,,규정,m,,철근 배근 상부에 통로용 작업발판 설치에 대하여 검토하여야 한다.,,,,,,,,,,,
24,C-24-2011,5.0,,,,(3),(사),,,,규정,m,,기타 콘크리트 및 타설에 관한 사항은 관련 시방서에 따른다.,,,,,,,,,,,
25,C-24-2011,6.0,,,,,,,,규정,,,콘크리트 타설 시 준수사항,"콘크리트 타설시 준비 사항, 콘크리트 타설 일반사항, 타설 장비 및 기계기구 안전 준수 사항을 고려하여 작업하여야 한다.",,,,,,,,,,,
26,C-24-2011,6.0,,,,(1),,,,,규정,,,콘크리트 타설시 준비 사항,,,,,,,,,,,
27,C-24-2011,6.0,,,,(1),(가),,,,규정,m,,거푸집 및 동바리 조립도 상태의 이상 유무를 점검하여야 한다.,,,,,,,,,,,
28,C-24-2011,6.0,,,,(1),(나),,,,규정,m,,타설 방법 및 타설 구획을 결정하여야 한다.,,,,,,,,,,,
29,C-24-2011,6.0,,,,(1),(다),,,,규정,m,,타설 장비 및 운반 장비 등의 투입계획을 사전 점검하여야 한다.,,,,,,,,,,,
30,C-24-2011,6.0,,,,(1),(라),,,,규정,m,,"콘크리트 펌프카가 위치할 곳은 작업이 가능한지 확인하고, 1층 바닥 슬래브에 탑재시에는 하부에 구조검토를 통한 보강을 실시하여야 한다.",,,,,,,,,,,
31,C-24-2011,6.0,,,,(1),(마),,,,규정,m,,"콘크리트 타워를 설치할 경우에 근로자에게 작업 기준을 지시하고, 작업 책임자를 지정하여 설치 작업 중에는 상주하여 현장에서 지휘하도록 하여야 한다.",,,,,,,,,,,
32,C-24-2011,6.0,,,,(1),(바),,,,규정,m,,충분한 작업인원을 확보하여 배치하여야 한다.,,,,,,,,,,,
33,C-24-2011,6.0,,,,(1),(사),,,,규정,m,,근로자에게 안전한 타설 방법 등을 주지시켜야 한다.,,,,,,,,,,,
34,C-24-2011,6.0,,,,(1),(아),,,,규정,m,,작업구역 내 접근 방지 울을 설치하여 관계근로자외 출입을 제한하여야 한다.,,,,,,,,,,,
