,0,1
0,[PAD],0.0
1,[UNK],0.0
2,[BOS],0.0
3,[EOS],0.0
4,[SEP],0.0
5,[CLS],0.0
6,[MASK],0.0
7,을,-3.90535
8,.,-4.00113
9,를,-4.02616
10,의,-4.19305
11,",",-4.27795
12,에,-4.35539
13,),-4.37067
14,▁중,-4.4467
15,▁,-4.54302
16,(,-4.57314
17,가,-4.61307
18,이,-4.71296
19,▁한다,-4.81239
20,▁작업,-5.00373
21,는,-5.04203
22,▁및,-5.12359
23,일,-5.12377
24,으로,-5.16472
25,월,-5.25017
26,로,-5.31284
27,에서,-5.36029
28,년,-5.439
29,시,-5.45339
30,▁후,-5.50935
31,층,-5.51091
32,▁위해,-5.52213
33,하여야,-5.61831
34,▁1,-5.62498
35,▁발생,-5.73108
36,은,-5.73331
37,▁등,-5.74272
38,▁2,-5.75167
39,▁사고,-5.77508
40,▁거푸집,-5.85199
41,과,-5.87674
42,동,-5.89062
43,분경,-5.93047
44,▁설치,-5.93744
45,▁작업을,-6.00747
46,와,-6.02503
47,한,-6.0538
48,▁작업중,-6.0614
49,▁재해자,-6.09435
50,m,-6.10455
51,▁이동,-6.13306
52,▁근로자,-6.15398
53,**,-6.21387
54,된,-6.22466
55,인,-6.2605
56,하여,-6.26699
57,▁작업자,-6.27094
58,▁현장,-6.28995
59,▁있는,-6.29882
60,서,-6.30751
61,1,-6.32024
62,▁넘어짐,-6.34522
63,▁콘크리트,-6.36874
64,▁해체,-6.3693
65,▁자재,-6.37156
66,▁10,-6.37929
67,▁3,-6.38371
68,▁시,-6.39197
69,▁하여야,-6.42175
70,▁철근,-6.44313
71,▁인한,-6.46123
72,▁지하,-6.46189
73,▁걸려,-6.47023
74,고,-6.47525
75,▁2020,-6.48454
76,▁왼쪽,-6.51104
77,▁미끄러져,-6.5309
78,▁2021,-6.58068
79,▁위하여,-6.58485
80,▁오른쪽,-6.59302
81,▁:,-6.60234
82,▁발을,-6.60267
83,면서,-6.638
84,▁있던,-6.64166
85,▁바닥에,-6.65163
86,▁추락,-6.65466
87,씨가,-6.65506
88,▁4,-6.65929
89,▁사고임,-6.65996
90,하는,-6.66328
91,▁재해자가,-6.66377
92,▁손가락,-6.67014
