,word
0,<PAD>
1,<BOS>
2,<UNK>
3,<UNUSED>
4,작업
5,설치
6,사고
7,발생
8,작업자
9,재해자
10,현장
11,안전
12,자재
13,철근
14,거푸집
15,바닥
16,근로자
17,이동
18,공사
19,비계
20,사용
21,추락
22,해체
23,골절
24,손가락
25,발판
26,분경
27,상태
28,상부
29,확인
30,운반
31,콘크리트
32,재해
33,지하
34,장비
35,경우
36,고정
37,왼쪽
38,크레인
39,하부
40,사이
41,병원
42,파이프
43,인양
44,과정
45,구간
46,방지
47,절단
48,사다리
49,우측
50,부주의
51,벽체
52,오른쪽
53,조치
54,시스템
55,조립
56,정리
57,이상
58,부분
59,이용
60,낙하
61,부위
62,실시
63,계단
64,배관
65,중심
66,전도
67,건설
68,발목
69,내부
70,동중
71,좌측
72,위험
73,위치
74,오전
75,부상
76,제거
77,지상
78,높이
79,시공
80,시경
81,왼손
82,차량
83,주변
84,도중
85,동바리
86,장소
87,연결
88,사항
89,시설
90,형틀
91,가설
92,외부
93,방법
94,관리
95,다음
96,유로
97,점검
98,무릎
99,로프
100,미흡
101,타격
102,통증
103,진행
104,그라인더
105,이동식
106,부재
107,체결
108,난간
109,아래
110,슬라브
111,굴착
112,구조물
113,어깨
114,착용
115,볼트
116,동료
117,기계
118,소속
119,작업대
120,허리
121,지반
122,설비
123,충격
124,오후
125,순간
126,기초
127,용접
128,충돌
129,결과
130,여부
131,계획
132,신호
133,다리
134,수직
135,고리
136,철골
137,공구
138,강관
139,완료
140,통로
141,기둥
142,합판
143,손상
144,판넬
145,하중
146,구조
147,적재
148,중지
149,방향
150,신축
151,손목
152,확보
153,운전
154,필요
155,토사
156,장치
157,철거
158,작업장
159,굴삭기
160,보강
161,오른손
162,수평
163,검지
164,인지
165,치료
166,주차장
167,타워
168,검토
169,데크
170,상황
171,진단
172,회전
173,신호수
174,지붕
175,본인
176,목재
177,하역
178,가격
179,흙막이
180,전기
181,사전
182,입음
183,무리
184,업체
185,양중
186,설계
187,부착
188,예방
189,순서
190,고려
191,배치
192,공간
193,불량
194,준비
195,고소
196,작동
197,금지
198,단순
199,핸드
200,동시
201,개인
202,해당
203,이송
204,가공
205,망치
206,청소
207,균형
208,정도
209,조사
210,수립
211,엄지손가락
212,세대
213,개구부
