,word
0,<PAD>
1,<BOS>
2,<UNK>
3,<UNUSED>
4,하
5,에
6,을
7,작업
8,.
9,이
10,를
11,중
12,의
13,는
14,가
15,에서
16,","
17,)
18,(
19,고
20,으로
21,여
22,로
23,한다
24,여야
25,던
26,한
27,설치
28,시
29,사고
30,1
31,발생
32,있
33,일
34,및
35,되
36,면서
37,2
38,층
39,등
40,어
41,후
42,월
43,은
44,지
45,작업자
46,재해자
47,현장
48,기
49,안전
50,년
51,위해
52,자재
53,된
54,철근
55,거푸집
56,과
57,바닥
58,근로자
59,며
60,이동
61,:
62,공사
63,와
64,않
65,3
66,비계
67,발
68,사용
69,추락
70,임
71,-
72,해체
73,함
74,골절
75,손가락
76,인
77,분경
78,발판
79,동
80,도록
81,10
82,상태
83,상부
84,확인
85,**
86,4
87,다
88,m
89,음
90,운반
91,수
92,콘크리트
93,5
94,게
95,폼
96,할
97,재해
98,넘어지
99,지하
100,00
101,높이
102,2020
103,내
104,씨
105,타
106,고정
107,장비
108,경우
109,왼쪽
110,크레인
111,적
112,넘어짐
113,경
114,하부
115,사이
116,30
117,아
118,보
119,용
120,병원
121,파이프
122,위
123,2021
124,다가
125,인양
126,과정
127,인한
128,11
129,구간
130,주
131,방지
132,걸려
133,됨
134,절단
135,전
136,사다리
137,손
138,부주의
139,우측
140,벽체
141,오른쪽
142,조치
143,위하
144,시스템
145,조립
146,미끄러져
147,정리
148,잃
149,이상
150,부분
151,이용
152,해
153,내려오
154,낙하
155,부위
156,실시
157,였
158,설
159,계단
160,었
161,배관
162,받
163,전도
164,8
165,중심
166,물
167,것
168,건설
169,발목
170,내부
171,없
172,동중
173,좌측
174,12
175,협
176,위치
177,위한
178,위험
179,오전
180,부상
181,대
182,끼
183,6
184,제거
185,성
186,지상
187,재
188,부
189,20
190,불
191,착
192,자
193,때
194,15
195,시공
196,7
197,잡
198,들
199,왼손
200,차량
201,2019
202,밟
203,주변
204,도중
205,/
206,동바리
207,시설
208,장소
209,연결
210,약
211,또는
212,사항
213,도
214,형틀
215,외부
216,H
217,조
218,방법
219,가설
220,다음
221,관리
222,유로
223,점검
224,미끄러지
225,안
226,미흡
227,김
228,무릎
229,번
230,떨어짐
231,로프
232,9
233,의한
234,못하
235,공
236,분
