,0,1
0,<unk>,0.0
1,<s>,0.0
2,</s>,0.0
3,▁,-1.48265
4,에,-4.02529
5,이,-4.08496
6,하,-4.23395
7,가,-4.37371
8,로,-4.38163
9,업,-4.39528
10,작,-4.40759
11,0,-4.40763
12,중,-4.40903
13,1,-4.4255
14,서,-4.44508
15,을,-4.51721
16,고,-4.54462
17,지,-4.54819
18,자,-4.60713
19,2,-4.61115
20,사,-4.63439
21,부,-4.69028
22,해,-4.76695
23,어,-4.81981
24,재,-4.82657
25,발,-4.95454
26,인,-4.96849
27,를,-4.9965
28,리,-5.00695
29,시,-5.0392
30,.,-5.08798
31,동,-5.09952
32,),-5.13431
33,상,-5.14612
34,으,-5.14716
35,(,-5.15293
36,의,-5.15321
37,기,-5.1665
38,장,-5.17277
39,전,-5.279
40,위,-5.32123
41,치,-5.33218
42,일,-5.3712
43,근,-5.37831
44,설,-5.42143
45,는,-5.42168
46,*,-5.42904
47,다,-5.42954
48,정,-5.45579
49,여,-5.49162
50,면,-5.50503
51,손,-5.50746
52,공,-5.50774
53,한,-5.50828
54,던,-5.55555
55,단,-5.57143
56,미,-5.5939
57,3,-5.67851
58,오,-5.69502
59,경,-5.69944
60,수,-5.72232
61,후,-5.72753
62,락,-5.73193
63,생,-5.73685
64,비,-5.74026
65,주,-5.75159
66,체,-5.7587
67,",",-5.76551
68,내,-5.77696
69,계,-5.77962
70,철,-5.80189
71,트,-5.8079
72,려,-5.81542
73,거,-5.82467
74,도,-5.85427
75,대,-5.8558
76,구,-5.85792
77,층,-5.89529
78,바,-5.9019
79,용,-5.90814
80,절,-5.92587
81,과,-5.93869
82,월,-5.94036
83,5,-5.94895
84,분,-5.95995
85,보,-5.988
86,판,-5.99062
87,4,-6.02635
88,간,-6.0268
89,넘,-6.02794
90,현,-6.03548
91,안,-6.03939
92,러,-6.04216
93,조,-6.05658
94,관,-6.08197
95,골,-6.09698
96,원,-6.10212
97,임,-6.11869
98,스,-6.11919
99,쪽,-6.13351
100,목,-6.13832
101,년,-6.14189
102,아,-6.15499
103,소,-6.15602
104,함,-6.1967
105,있,-6.21273
106,9,-6.21822
107,되,-6.21877
108,파,-6.23825
109,타,-6.25754
110,차,-6.2584
111,진,-6.26156
112,져,-6.26559
113,집,-6.26819
114,실,-6.27955
115,라,-6.28778
116,짐,-6.3138
117,닥,-6.31745
118,무,-6.31988
119,프,-6.31988
120,크,-6.32569
121,추,-6.32938
122,음,-6.34458
123,m,-6.36223
124,측,-6.36925
125,반,-6.3715
126,푸,-6.38899
127,호,-6.41849
128,된,-6.42864
129,끄,-6.43717
130,6,-6.47276
131,운,-6.486
132,왼,-6.49032
133,입,-6.49069
134,8,-6.49758
135,물,-6.5005
136,른,-6.513
137,:,-6.51559
138,방,-6.52154
139,며,-6.52415
140,통,-6.52827
141,우,-6.53241
142,신,-6.53771
143,벽,-6.5526
144,와,-6.57085
145,레,-6.5736
146,결,-6.59144
147,및,-6.59585
148,착,-6.60068
149,료,-6.61737
150,나,-6.61778
151,7,-6.62437
152,양,-6.6478
153,-,-6.65076
154,걸,-6.67699
155,제,-6.67874
156,격,-6.68839
157,게,-6.68927
158,적,-6.69858
159,형,-6.70036
160,당,-6.71383
161,은,-6.74412
162,배,-6.74645
163,떨,-6.75962
164,유,-6.79871
165,강,-6.81308
166,병,-6.82868
167,딪,-6.84401
168,였,-6.85801
169,건,-6.8622
170,접,-6.86904
171,개,-6.89092
172,마,-6.9133
173,행,-6.93562
174,못,-6.9464
175,불,-6.95614
176,씨,-6.9573
177,끼,-6.97534
178,드,-6.98596
179,화,-6.99371
180,심,-7.00272
181,속,-7.00332
182,세,-7.00877
183,요,-7.01181
184,폼,-7.02407
185,터,-7.03211
186,등,-7.04023
187,디,-7.04399
188,들,-7.0503
189,식,-7.05284
190,외,-7.0669
191,량,-7.07141
192,천,-7.0753
193,태,-7.07594
194,콘,-7.07724
195,틀,-7.09297
196,돌,-7.09363
197,선,-7.10426
198,연,-7.11366
199,확,-7.12246
200,않,-7.12383
201,출,-7.14447
202,높,-7.14865
203,협,-7.15777
204,브,-7.16627
205,좌,-7.17483
206,산,-7.19951
207,그,-7.20688
208,됨,-7.2301
209,슬,-7.23085
210,충,-7.23694
211,받,-7.24229
212,약,-7.25076
213,피,-7.25697
214,교,-7.26792
215,니,-7.2695
216,합,-7.27345
217,힘,-7.2782
218,석,-7.279
219,토,-7.28219
220,직,-7.28458
221,박,-7.2894
222,망,-7.30397
223,잃,-7.31546
224,낙,-7.32707
225,순,-7.33546
226,잡,-7.34052
227,급,-7.35072
228,헛,-7.3619
229,굴,-7.36276
230,질,-7.3671
231,템,-7.3671
232,각,-7.39708
233,성,-7.40517
234,포,-7.40517
235,M,-7.40879
236,청,-7.40969
237,탈,-7.4106
238,더,-7.41606
239,래,-7.42247
240,열,-7.42615
241,올,-7.42615
242,P,-7.42892
243,복,-7.42892
244,놓,-7.44007
245,검,-7.44194
246,증,-7.44194
247,었,-7.44475
248,립,-7.45324
249,번,-7.46275
250,명,-7.46563
251,김,-7.52691
252,축,-7.5351
253,종,-7.55377
254,H,-7.55482
255,날,-7.55482
256,침,-7.5728
257,C,-7.57708
258,B,-7.60865
259,T,-7.60865
260,난,-7.61087
261,밟,-7.61087
262,A,-7.61643
263,흡,-7.63216
264,모,-7.63329
265,점,-7.64355
266,역,-7.6516
267,허,-7.6516
268,카,-7.65391
269,승,-7.66907
270,송,-7.67025
271,맞,-7.67142
272,림,-7.6726
273,문,-7.67378
274,없,-7.68685
275,말,-7.70131
276,c,-7.70253
277,변,-7.7074
278,/,-7.71352
279,릎,-7.71352
280,회,-7.7234
281,력,-7.74345
282,막,-7.74345
283,베,-7.7498
284,본,-7.76133
285,깨,-7.76909
286,야,-7.78085
287,뒤,-7.78876
288,팔,-7.79408
289,감,-7.79541
290,금,-7.79808
291,초,-7.80883
292,버,-7.81154
293,처,-7.82931
294,워,-7.8446
295,견,-7.846
296,뎌,-7.846
297,엄,-7.8474
298,빔,-7.87013
299,톱,-7.87157
300,옆,-7.88899
301,완,-7.89634
302,e,-7.90671
303,블,-7.90671
304,럭,-7.91419
305,빠,-7.92476
306,평,-7.93085
307,O,-7.94314
308,뼈,-7.94623
309,영,-7.95401
310,혀,-7.95401
311,a,-7.95871
312,데,-7.96343
313,쳐,-7.97773
314,E,-7.99224
315,넬,-7.99875
316,코,-8.00039
317,준,-8.00366
318,히,-8.01855
319,창,-8.03536
320,둥,-8.04558
321,남,-8.05418
322,것,-8.0716
323,압,-8.0716
324,술,-8.07866
325,갑,-8.08043
326,딛,-8.08576
327,앞,-8.09832
328,습,-8.11103
329,S,-8.12022
330,끝,-8.13135
331,항,-8.13135
332,삭,-8.14072
333,알,-8.1426
334,족,-8.15208
335,홀,-8.15399
336,께,-8.16744
337,볼,-8.16744
338,린,-8.20891
339,벨,-8.217
340,몸,-8.23754
341,르,-8.2417
342,줄,-8.25006
343,머,-8.26275
344,밀,-8.26275
345,저,-8.27345
346,퇴,-8.2756
347,o,-8.27776
348,새,-8.27992
349,노,-8.28208
350,류,-8.28208
351,핸,-8.28426
352,붕,-8.28861
353,최,-8.2908
354,황,-8.30623
355,만,-8.30846
356,R,-8.32191
357,~,-8.32191
358,I,-8.32644
359,험,-8.32644
360,폐,-8.32871
361,팀,-8.33098
362,옥,-8.33555
