,0,1
0,<unk>,0.0
1,<s>,0.0
2,</s>,0.0
3,▁중,-3.8322
4,▁작업,-4.70093
5,▁위해,-4.86883
6,▁후,-5.00985
7,▁및,-5.14049
8,▁사고,-5.22622
9,▁발생,-5.31066
10,▁작업중,-5.42405
11,▁작업을,-5.44791
12,▁거푸집,-5.49152
13,▁재해자,-5.7176
14,▁이동,-5.7399
15,▁현장,-5.79715
16,▁왼쪽,-5.80194
17,▁설치,-5.81078
18,▁작업자,-5.8132
19,▁걸려,-5.81644
20,▁미끄러져,-5.83281
21,▁인한,-5.83529
22,▁넘어짐,-5.84693
23,▁발을,-5.85113
24,▁2020년,-5.85787
25,▁오른쪽,-5.88185
26,▁있던,-5.88706
27,▁재해자가,-5.90021
28,▁바닥에,-5.91443
29,▁:,-5.93341
30,▁넘어지면서,-5.95649
31,▁2021년,-5.97249
32,▁작업자가,-6.0191
33,▁철근,-6.04937
34,▁과정에서,-6.05451
35,▁해체,-6.07008
36,▁이동중,-6.07743
37,▁잃고,-6.07848
38,▁우측,-6.14386
39,▁자재,-6.15519
40,▁중심을,-6.18525
41,▁작업자의,-6.21382
42,▁있는,-6.22231
43,▁골절,-6.26461
44,▁근로자,-6.27482
45,▁발이,-6.28905
46,▁콘크리트,-6.28905
47,▁오전,-6.29165
48,▁손가락,-6.30083
49,▁좌측,-6.30479
50,▁추락,-6.33842
51,▁하던,-6.35358
52,▁위하여,-6.36055
53,▁손가락이,-6.41516
54,▁자재를,-6.42258
55,▁부주의로,-6.43155
56,▁2019년,-6.45433
57,▁벽체,-6.45894
58,▁위한,-6.46359
59,▁1층,-6.47293
60,▁발생한,-6.4745
61,▁재해자의,-6.49189
62,▁사이에,-6.50797
63,▁넘어져,-6.51447
64,▁상부,-6.52102
65,▁비계,-6.55781
66,▁헛디뎌,-6.55781
67,▁사고임,-6.56293
68,▁현장에서,-6.58195
69,▁왼손,-6.58895
70,▁인해,-6.61567
71,▁이용하여,-6.6211
72,▁미끄러지면서,-6.62839
73,▁소속,-6.63389
74,▁부주의,-6.63573
75,▁내,-6.66185
76,▁부딪힘,-6.66944
77,▁떨어져,-6.67325
78,▁도중,-6.68867
79,▁바닥으로,-6.70235
80,▁떨어짐,-6.71823
81,▁못하고,-6.72425
82,▁사고가,-6.72828
83,▁근로자가,-6.75489
84,▁상태에서,-6.76952
85,▁약,-6.77798
86,▁하부,-6.78865
87,▁바닥,-6.7908
88,▁사고임.,-6.79727
89,▁함께,-6.80597
90,▁밟고,-6.81915
91,▁오후,-6.81915
92,▁시,-6.83701
93,▁미흡,-6.8529
94,▁슬라브,-6.8621
95,▁재해,-6.8621
96,▁2층,-6.8784
97,▁불안전한,-6.88075
98,▁설치된,-6.89735
99,▁오른손,-6.89735
100,▁상부에서,-6.90697
101,▁시스템,-6.90697
102,▁경,-6.90939
103,▁부딪혀,-6.90939
104,▁끼임,-6.92648
105,▁순간,-6.94387
106,▁높이에서,-6.977
107,▁인하여,-6.977
108,▁철근에,-6.97959
109,▁의한,-6.99266
110,▁30분경,-7.00059
111,▁부상,-7.00325
112,▁철근을,-7.00325
113,▁10월,-7.00858
114,▁않고,-7.01394
115,▁내려오던,-7.02747
116,▁잡고,-7.02747
117,▁위에서,-7.03294
118,"▁중,",-7.03568
119,▁미끄러짐,-7.04673
120,▁12월,-7.06072
121,▁내부,-7.06637
122,▁들고,-7.07205
123,▁절단,-7.07776
124,▁외부,-7.08063
125,▁설치를,-7.08351
126,▁운반,-7.09219
127,▁입음,-7.13678
128,▁현장내,-7.13678
129,▁아래로,-7.14288
130,▁지하1층,-7.14288
131,▁사다리,-7.15828
132,▁확인,-7.17393
133,▁주변,-7.17709
134,▁배관,-7.18344
135,▁넘어지며,-7.18663
136,▁뒤로,-7.19626
137,▁신축공사,-7.20925
138,▁의해,-7.21252
139,▁지하,-7.2191
140,▁-,-7.22241
141,▁협착,-7.22905
142,▁추락하여,-7.24926
143,▁인지하지,-7.25266
144,▁하던중,-7.25608
145,▁11월,-7.26988
146,▁근로자의,-7.26988
147,▁발목을,-7.26988
148,▁보,-7.26988
149,▁유로폼,-7.28035
150,▁사용하여,-7.28739
151,▁중에,-7.28739
152,▁균형을,-7.29093
153,▁골절된,-7.30521
154,▁부상을,-7.30521
155,▁사다리를,-7.30521
156,▁가시설,-7.30882
157,▁손을,-7.31243
158,▁사고발생,-7.31606
159,▁않아,-7.33441
160,▁타설,-7.33441
161,▁동바리,-7.33812
162,▁정리,-7.33812
163,▁떨어지면서,-7.34559
164,▁하부로,-7.34559
165,▁높이,-7.36449
166,▁베임,-7.38376
167,▁작업발판,-7.38376
168,▁재해자는,-7.3955
169,▁추락한,-7.39945
170,▁하기,-7.39945
171,▁등,-7.40341
172,▁3층,-7.40738
173,▁당,-7.40738
174,▁발목이,-7.40738
175,▁않은,-7.41538
176,▁작업시,-7.42345
177,▁재해임,-7.42345
178,▁시스템비계,-7.4275
179,▁자재가,-7.4275
180,▁거푸집을,-7.43158
181,▁발목,-7.43567
182,▁이동식,-7.4439
183,▁병원,-7.45637
184,▁동료,-7.46057
185,▁10시,-7.46478
186,▁장비,-7.47325
187,▁망치로,-7.47751
188,▁발판,-7.47751
189,▁전도,-7.47751
190,▁고정,-7.4861
191,▁따른,-7.49911
192,▁끼어,-7.50349
193,▁밟아,-7.5123
194,▁그라인더,-7.53016
195,▁통증을,-7.53016
196,▁형틀,-7.53016
197,▁내려오다,-7.53467
198,▁무릎을,-7.53921
199,▁몸의,-7.54376
200,▁손가락을,-7.54376
201,▁발생함,-7.54834
202,▁결과,-7.5622
203,▁같이,-7.56686
204,▁굴삭기,-7.56686
205,▁제거,-7.57154
206,▁자재에,-7.58098
207,▁조립,-7.58098
208,▁통증이,-7.58098
209,▁인양,-7.58573
210,▁계단,-7.5953
211,▁다침,-7.5953
212,▁지하2층,-7.5953
213,▁크레인,-7.5953
214,▁낙하하여,-7.60012
215,▁상부에,-7.60012
216,▁11시,-7.60496
217,▁마치고,-7.60496
218,▁사용,-7.60496
219,▁시스템동바리,-7.61472
220,▁지상,-7.61963
221,▁철골,-7.61963
222,▁병원으로,-7.62457
223,▁골절됨,-7.62953
224,▁이동하던,-7.63452
225,▁재해임.,-7.63452
226,▁주차장,-7.63452
227,▁당일,-7.66498
228,▁상태로,-7.66498
229,▁7월,-7.67534
230,▁8월,-7.67534
231,▁발생.,-7.67534
232,▁하다가,-7.67534
233,▁빠지면서,-7.68056
234,▁갑자기,-7.69109
235,▁타격,-7.69109
236,▁사다리에서,-7.69639
237,▁무릎,-7.70709
238,▁입은,-7.70709
239,▁전,-7.70709
240,▁하는,-7.70709
241,▁것으로,-7.71248
242,▁손이,-7.7179
243,▁타격하여,-7.7179
244,▁1.,-7.72335
245,▁공사,-7.72335
246,▁맞아,-7.72335
247,▁파이프,-7.74545
248,▁것을,-7.75105
249,▁미끄러지며,-7.75105
250,▁완료,-7.75669
251,▁충돌,-7.75669
252,▁102동,-7.76235
253,▁타워크레인,-7.76235
254,▁계단실,-7.77378
255,▁전도되어,-7.77378
256,▁바닥에서,-7.77954
257,▁대한,-7.78534
258,▁떨어진,-7.78534
259,▁맞음,-7.78534
260,▁무리한,-7.78534
261,▁하여,-7.78534
262,▁즉시,-7.79117
263,▁내려오다가,-7.79704
264,▁사이,-7.79704
265,▁이후,-7.79704
