,0,1
0,<unk>,0
1,<s>,0
2,</s>,0
3,하여,0
4,한다,-1
5,▁한다,-2
6,하여야,-3
7,작업,-4
8,▁작업,-5
9,▁등,-6
10,▁설,-7
11,▁이,-8
12,▁사,-9
13,▁안,-10
14,▁및,-11
15,▁설치,-12
16,▁시,-13
17,▁안전,-14
18,에는,-15
19,하고,-16
20,▁수,-17
21,▁지,-18
22,▁위,-19
23,도록,-20
24,▁경,-21
25,▁하,-22
26,으로,-23
27,▁있,-24
28,▁전,-25
29,▁방,-26
30,▁확,-27
31,▁조,-28
32,▁경우,-29
33,▁기,-30
34,▁사용,-31
35,▁인,-32
36,▁부,-33
37,▁하여야,-34
38,▁가,-35
39,▁유,-36
40,▁않,-37
41,하는,-38
42,에서,-39
43,▁주,-40
44,▁장,-41
45,▁발,-42
46,▁상,-43
47,▁보,-44
48,▁대,-45
49,▁구,-46
50,▁고,-47
51,▁확인,-48
52,▁근,-49
53,▁정,-50
54,▁관,-51
55,▁공,-52
56,로자,-53
57,▁운,-54
58,▁근로자,-55
59,▁다,-56
60,▁않도록,-57
61,▁제,-58
62,▁적,-59
63,▁중,-60
64,▁또,-61
65,▁하며,-62
66,▁따,-63
67,▁등을,-64
68,▁이상,-65
69,▁후,-66
70,▁등의,-67
71,▁있는,-68
72,▁해,-69
73,▁또는,-70
74,▁때,-71
75,▁경우에는,-72
76,▁실,-73
77,▁강,-74
78,계획,-75
79,▁구조,-76
80,▁비,-77
81,▁철,-78
82,치를,-79
83,크리,-80
84,▁내,-81
85,크리트,-82
86,콘크리트,-83
87,레인,-84
88,▁배,-85
89,크레인,-86
90,▁굴,-87
91,▁실시,-88
92,▁방지,-89
93,▁반,-90
94,▁설치하여야,-91
95,▁타,-92
96,▁자,-93
97,▁의,-94
98,▁다음,-95
99,▁인양,-96
100,▁위험,-97
101,▁이동,-98
102,▁콘크리트,-99
103,▁1,-100
104,▁굴착,-101
105,하기,-102
106,▁점,-103
107,▁화,-104
108,▁추,-105
109,▁충,-106
110,▁발생,-107
111,▁거,-108
112,하게,-109
113,▁크레인,-110
114,▁용,-111
115,▁재,-112
116,▁점검,-113
117,▁같,-114
118,▁연,-115
119,▁사항,-116
120,▁시공,-117
121,거나,-118
122,어야,-119
123,▁것,-120
124,▁설계,-121
125,▁준,-122
126,여부,-123
127,▁그,-124
128,로프,-125
129,▁통,-126
130,▁신,-127
131,▁작,-128
132,▁작업을,-129
133,▁장비,-130
134,▁위하여,-131
135,방지,-132
136,하지,-133
137,▁따라,-134
138,▁운반,-135
139,▁바,-136
140,▁해체,-137
141,▁동,-138
142,▁검,-139
143,▁조립,-140
144,▁때에는,-141
145,▁건,-142
146,▁확인하여야,-143
147,▁교,-144
148,▁2,-145
149,▁지반,-146
150,▁부재,-147
151,▁상태,-148
152,▁각,-149
153,▁아,-150
154,▁현,-151
155,▁타설,-152
156,푸집,-153
157,▁대한,-154
158,▁하고,-155
159,▁단,-156
160,▁예,-157
161,▁관리,-158
162,하도록,-159
163,▁필,-160
164,되는,-161
165,▁거푸집,-162
166,▁충분,-163
167,▁따른,-164
168,▁없,-165
