,0,1
0,<unk>,0.0
1,<s>,0.0
2,</s>,0.0
3,▁,-1.46715
4,하,-3.46576
5,한,-3.95064
6,에,-4.06713
7,여,-4.0751
8,다,-4.17256
9,의,-4.18012
10,.,-4.22321
11,이,-4.23317
12,는,-4.23962
13,을,-4.36934
14,지,-4.37309
15,야,-4.38394
16,작,-4.53071
17,",",-4.55935
18,를,-4.56712
19,시,-4.62748
20,업,-4.62904
21,전,-4.65121
22,로,-4.66361
23,기,-4.70988
24,치,-4.72994
25,설,-4.75165
26,사,-4.88412
27,고,-4.90001
28,도,-4.96796
29,인,-4.96994
30,등,-5.04324
31,가,-5.05085
32,수,-5.07305
33,부,-5.09203
34,상,-5.09776
35,용,-5.10278
36,장,-5.17012
37,조,-5.18639
38,안,-5.26662
39,방,-5.26899
40,위,-5.29882
41,자,-5.31517
42,계,-5.31828
43,정,-5.32016
44,리,-5.34836
45,서,-5.39105
46,재,-5.40592
47,및,-5.42517
48,공,-5.46554
49,보,-5.51177
50,경,-5.51899
51,은,-5.52319
52,구,-5.53552
53,해,-5.54604
54,대,-5.56622
55,록,-5.56782
56,우,-5.63401
57,반,-5.63572
58,비,-5.64347
59,으,-5.72063
60,트,-5.74232
61,물,-5.75335
62,관,-5.7606
63,어,-5.76303
64,중,-5.77626
65,발,-5.82423
66,크,-5.84779
67,과,-5.85577
68,동,-5.8579
69,확,-5.8933
70,거,-5.90277
71,있,-5.90782
72,적,-5.91913
73,되,-5.93576
74,근,-5.94156
75,소,-5.99166
76,유,-5.99903
77,(,-6.00459
78,),-6.00459
79,할,-6.02272
80,단,-6.04312
81,주,-6.06066
82,착,-6.06131
83,강,-6.09262
84,호,-6.09941
85,체,-6.13618
86,선,-6.16631
87,성,-6.18617
88,운,-6.19663
89,제,-6.19738
90,화,-6.2171
91,1,-6.23022
92,않,-6.23958
93,간,-6.24429
94,레,-6.25061
95,게,-6.25856
96,건,-6.26498
97,내,-6.26578
98,나,-6.27224
99,검,-6.27305
100,며,-6.28118
101,와,-6.28364
102,면,-6.30432
103,항,-6.34094
104,양,-6.35932
105,법,-6.38165
106,2,-6.41752
107,후,-6.41846
108,된,-6.4241
109,립,-6.43261
110,프,-6.43357
111,분,-6.43452
112,타,-6.43929
113,스,-6.46252
114,판,-6.46252
115,0,-6.47534
116,음,-6.48231
117,입,-6.48331
118,험,-6.50045
119,토,-6.50555
120,실,-6.50965
121,결,-6.51274
122,차,-6.51274
123,준,-6.51686
124,접,-6.5179
125,진,-6.52726
126,량,-6.53565
127,또,-6.54838
128,일,-6.55588
129,라,-6.56343
130,점,-6.56343
131,태,-6.57762
132,따,-6.58756
133,철,-6.5976
134,요,-6.61342
135,통,-6.63181
136,때,-6.65766
137,아,-6.65766
138,연,-6.66843
139,그,-6.67084
140,배,-6.68054
141,출,-6.68054
142,침,-6.68298
143,행,-6.69033
144,굴,-6.69526
145,변,-6.69898
146,획,-6.69898
147,형,-6.7052
148,생,-6.71021
149,력,-6.71903
150,식,-6.73177
151,추,-6.74858
152,콘,-6.76038
153,려,-6.77634
154,바,-6.79802
155,히,-6.83571
156,파,-6.83855
157,각,-6.84284
158,교,-6.84284
159,m,-6.85003
160,감,-6.87044
161,무,-6.89429
162,압,-6.90338
163,충,-6.92959
164,e,-6.93901
165,측,-6.94059
166,신,-6.94217
167,격,-6.94534
168,급,-6.98253
169,절,-6.98583
170,개,-6.98915
171,속,-7.01434
172,질,-7.02116
173,드,-7.02803
174,-,-7.04367
175,S,-7.04367
176,표,-7.05247
177,현,-7.05247
178,예,-7.05601
179,직,-7.05956
180,터,-7.05956
181,같,-7.10693
182,원,-7.10693
183,락,-7.12766
184,것,-7.13531
185,금,-7.13531
186,평,-7.14302
187,미,-7.16453
188,·,-7.18046
189,른,-7.19258
190,집,-7.19462
191,산,-7.1987
192,함,-7.22145
193,3,-7.22355
194,능,-7.22355
195,짐,-7.23197
196,매,-7.26201
197,초,-7.27517
198,모,-7.27738
199,료,-7.2796
200,합,-7.2796
201,벽,-7.28182
202,포,-7.28404
203,C,-7.28627
204,외,-7.29749
205,별,-7.30429
206,불,-7.30429
207,푸,-7.32032
208,손,-7.33194
209,필,-7.33194
210,당,-7.34606
211,5,-7.35319
212,임,-7.35558
213,향,-7.37004
214,없,-7.37247
215,종,-7.37247
216,r,-7.3798
217,견,-7.39213
218,난,-7.39461
219,마,-7.3971
220,류,-7.3996
221,순,-7.40713
222,받,-7.4198
223,높,-7.42748
224,브,-7.44042
225,망,-7.44303
226,므,-7.45089
227,a,-7.46147
228,막,-7.49391
229,낙,-7.49666
230,최,-7.50218
231,승,-7.51613
232,i,-7.52459
233,러,-7.52743
234,피,-7.52743
235,독,-7.54752
236,약,-7.55625
237,책,-7.55625
238,래,-7.56506
239,명,-7.56802
240,림,-7.57693
241,저,-7.57693
242,H,-7.57992
243,역,-7.58894
244,c,-7.60417
245,취,-7.60724
246,D,-7.62587
247,탑,-7.63532
248,n,-7.64167
249,천,-7.65449
250,규,-7.67404
251,폭,-7.68395
252,4,-7.69397
253,o,-7.69397
254,A,-7.69733
255,t,-7.69733
256,들,-7.70409
257,회,-7.70409
258,버,-7.70748
259,세,-7.7281
260,붕,-7.73507
261,블,-7.73857
262,목,-7.74916
263,커,-7.75271
264,영,-7.75627
265,K,-7.75985
266,달,-7.75985
267,완,-7.75985
268,걸,-7.76344
269,켜,-7.77793
270,더,-7.78159
271,두,-7.78159
272,볼,-7.79264
273,슬,-7.79635
274,O,-7.80008
275,석,-7.81133
276,E,-7.81891
277,G,-7.81891
278,l,-7.82272
279,밀,-7.84199
280,특,-7.84199
281,>,-7.85373
282,풍,-7.85373
283,흙,-7.85373
284,<,-7.86163
285,처,-7.86163
286,줄,-7.86561
287,환,-7.86561
288,길,-7.87361
289,g,-7.88573
290,I,-7.8898
291,만,-7.8898
292,축,-7.8898
293,U,-7.91042
294,말,-7.91042
295,P,-7.94865
296,심,-7.96172
297,련,-8.00199
298,문,-8.01117
299,층,-8.01117
300,니,-8.02042
301,누,-8.04395
302,육,-8.04873
303,닥,-8.05352
304,폼,-8.05834
305,열,-8.0828
306,증,-8.0828
307,될,-8.08776
308,긴,-8.09274
309,8,-8.09776
310,괴,-8.11806
311,황,-8.13357
312,즉,-8.13879
313,돌,-8.14932
314,떨,-8.14932
315,품,-8.15995
316,키,-8.16532
317,울,-8.18158
318,르,-8.18706
319,칙,-8.19257
320,폐,-8.19257
321,6,-8.20928
322,까,-8.20928
323,앵,-8.21491
324,곳,-8.22628
325,탈,-8.23777
326,플,-8.23777
327,응,-8.24357
328,둥,-8.25526
329,클,-8.25526
330,노,-8.26116
331,복,-8.2912
332,탄,-8.2912
333,허,-8.32216
334,휘,-8.32847
335,k,-8.33482
336,너,-8.33482
337,럭,-8.33482
338,u,-8.34121
339,케,-8.34764
340,협,-8.34764
341,널,-8.35411
342,송,-8.36718
343,뚝,-8.37378
344,넘,-8.38043
345,균,-8.38712
346,오,-8.39385
347,p,-8.41433
348,본,-8.44942
349,카,-8.45659
350,골,-8.46381
351,올,-8.47108
352,:,-8.47841
353,청,-8.47841
354,악,-8.48579
355,투,-8.48579
356,펌,-8.48579
357,L,-8.49322
358,술,-8.49322
359,데,-8.51587
360,워,-8.51587
361,띠,-8.52353
362,람,-8.52353
363,맞,-8.53903
364,M,-8.57888
