,word
0,<PAD>
1,<BOS>
2,<UNK>
3,<UNUSED>
4,을
5,에
6,하
7,중
8,작업
9,이
10,가
11,에서
12,를
13,.
14,)
15,(
16,으로
17,로
18,고
19,는
20,의
21,던
22,여
23,사고
24,1
25,","
26,일
27,발생
28,면서
29,층
30,시
31,월
32,2
33,어
34,재해자
35,작업자
36,한
37,설치
38,후
39,년
40,현장
41,있
42,위해
43,되
44,자재
45,철근
46,바닥
47,지
48,기
49,거푸집
50,된
51,:
52,이동
53,발
54,임
55,및
56,3
57,골절
58,손가락
59,비계
60,분경
61,함
62,추락
63,동
64,공사
65,-
66,근로자
67,은
68,해체
69,10
70,**
71,상부
72,인
73,발판
74,며
75,과
76,4
77,와
78,음
79,안전
80,m
81,5
82,00
83,넘어지
84,2020
85,씨
86,왼쪽
87,폼
88,다
89,경
90,지하
91,병원
92,넘어짐
93,2021
94,30
95,다가
96,않
97,사이
98,운반
99,아
100,파이프
101,높이
102,과정
103,재해
104,11
105,상태
106,걸려
107,하부
108,보
109,내
110,됨
111,부주의
112,우측
113,위
114,손
115,고정
116,구간
117,오른쪽
118,인한
119,사다리
120,미끄러져
121,잃
122,절단
123,콘크리트
124,내려오
125,시스템
126,벽체
127,정리
128,타
129,였
130,용
131,사용
132,8
133,발목
134,었
135,주
136,배관
137,계단
138,좌측
139,동중
140,중심
141,부위
142,게
143,오전
144,해
145,12
146,부분
147,부상
148,협
149,확인
150,장비
151,크레인
152,끼
153,받
154,6
155,착
156,왼손
157,20
158,15
159,전도
160,잡
161,적
162,2019
163,밟
164,7
165,내부
166,지상
167,도중
168,낙하
169,이용
170,건설
171,약
172,형틀
173,불
174,등
175,유로
176,/
177,무릎
178,미흡
179,김
180,조립
181,미끄러지
182,부
183,H
184,번
185,재
186,들
187,자
188,인양
189,9
190,위하
191,통증
192,제거
193,설
194,타격
195,못하
196,외부
197,미
198,분
199,그라인더
200,대
201,부딪힘
202,슬라브
203,동바리
204,인지
205,떨어짐
206,공
207,조
208,어깨
209,동료
210,단
211,14
212,빔
213,차량
214,위한
215,없
216,소속
217,16
218,간
219,시설
220,주변
221,08
222,연결
223,아래
224,진행
225,오후
226,넘어져
227,전
228,허리
229,13
230,명
231,수
232,09
233,M
234,물
235,체결
