,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,토,분경,충남,소재,신축,공사,현장,철골,조립,작업,중,인접,구조물,간섭,철골,부재,위치,조정,이동식크레인,인양,과정,철골,반동,지상,층,바닥,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,월,경,경기,소재,근,제조,업소,증축,현장,패널,공,명,지붕,패널,설치작업,후,이동식크레인,벨트,슬링,발,채,하강,중,몸,균형,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,토,분경,부산,진구,소재,신축,공사,현장,지상,층,철,골보,상부,테크,플레이트,설치,작업,중,몸,중심,아래,층,콘크리트,바닥,추락,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,분경,광주,광산구,소재,아파트,신축,공사,현장,굴착기,운전자,오수,맨홀,설치작업,굴착기,맨홀,상부,구체,인향,채,선회,중,굴착기,중심,운전석,출입문,쪽,운전자,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,일,분,부산광역시,남구,문현동,소재,아파트,신축,공사,현장,작업,명,이동식,크레인,설치,작업대,탑승,방음벽,설치,작업,중,벨트,슬링,후크,이탈,작업대,바닥,사망,명,부상,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,경,경기도,안양시,만안구,안양동,소재,지중선,신설,공사,현장,지중,전기,관로,매설,부위,아스,콘,포장,작업,중,운전자,콤비,롤러,운전석,이탈,롤러,전방,작업자,충돌,작업자,명,롤러,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,화,음향,시스템,설치,현장,분리,발주,업체,우레탄,폼,작업,이후,스크린,프레임,설치,용접작업,중,우레탄,폼,캔,충전,가스,용접,불티,점,폭발,명,부상,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,경,강원도,원주시,단계동,소재,단독,주택,철거공사,현장,콘크리트,단층,창고,지붕,슬래브,중,지붕,슬래브,창고,내부,재해자,벽,슬래브,사이,흉부,협착,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,금,인천광역시,연수구,소재,중학교,신축,공사,현장,재해자,가설,울타리,철거,가스,절단기,사용,빔,절단,중,해당,빔,재해자,쪽,전도,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,년,월,일목,경기도,오산시,소재,물류,센터,신축,공사,현장,크레인,사용,층,슬라브,거치,후,슬라브,체결,줄걸이,해체,상태,크레인,상승,슬라브,위,재해자,층,바닥,추락,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,화,분경,경남,밀양시,소재,공장,신축,공사,현장,재해자,지상,층,철골,보상,부,작업,중,데크플레이트,이탈,몸,중심,층,콘크리트,바닥,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,년,월,일목,경기도,양주시,소재,아파트,신축,공사,현장,갱폼,작업발판,위,적재,철근,길,무게,가닥,약,아래,지상,낙하,하부,이동,중,작업자,머리,작업자,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,화,인천광역시,계양구,서운동,소재,공장,신축,공사,현장,차량,탑,재형,고소작업대,사용,창호,유리,설치작업,중,고소작업대,전도,작업대,탑승,작업,중,재해자,명,아래,사망,명,부상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,년,월,일월,시,분경,서울시,강동구,소재,아파트,외벽,도장,공사,현장,건물,층,높이,차량,탑,재형,고소작업대,스카이,이용,외부,도장,작업,중,고소작업대,이동,과정,재해자,지상,추락,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,경,경기,광명시,소재,오피스텔,신축,공사,현장,재해자,담장,하부,터파기,굴,착면,지반,개량,시설물,설치,골재,작업,중,굴착,사면,상부,담장,붕괴,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,월,전라북도,전주시,완산구,소재,노후,상,수관,갱생,공사,현장,작업,명,업구,기존,노후,상수도관,내부,갱,작업,중,집중호우,관로,안,물,외부,대피,중,명,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,년,월,일화,충청남도,논산시,소재,농장,개축,공사,현장,기,설치,보강,옹벽,하부,우수관,공사,터파기,후,굴착,저면,우수,배관,연결,작업,재해자,굴착,사면,보강,옹,벽,붕괴,매몰,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,조경,공사,현장,이동식크레인,사용,조경수,이식,작업,중,크레인,지브,붐,끝,부분,인접,충전전로,접촉,크레인,훅,재해자,감전,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,년,월,일,경,경기도,하남시,신장동,소재,모델,하우스,철거공사,현장,전시,기간,모델,하우스,지붕재,패널,지상,약,높이,철골,지붕,작업,중,추락,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,월,경기도,화성시,소재,공장,증축공사,현장,재해자,지붕,철골,부재,조립,고소작업대,테두리,빔,이동,중,아래,바닥,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,금,분경,전라남도,나주시,소재,아파트,보수,공사,현장,재해자,달비계,작업대,탑승,아파트,외부,창호,방수,실리콘,코킹,작업,중,달비계,작업,로프,매듭,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,수,숙영,시설,철거공사,현장,재해자,건물,지붕,위,라이트,폴리카보네이트,재질,지붕재,철거,중,지면,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,년,월,일,경,과천시,갈현동,소재,아파트,건설,공사,현장,가설,울타리,설치,반입,자재,지게차,사용,화물차,하역,중,화물차,적재,낙하,작업자,명,명,사망,명,부상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,수,분경,경북,영천시,소재,축사,지붕재,칼라,강판,선,라이트,교체,공사,현장,재해자,칼라,강판,이동,사용,작업,도구,로프,정리,작업,중,선,라이트,파손,아래,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,월,경기도,용인시,처인구,포곡읍,소재,승강기,교체,공사,현장,엘리베이터,승강,내부,임시,카,도어,행거,철거,작업,중,임시,카,줄걸이,로프,슬링벨트,파단,미터,아래,바닥,추락,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,년,월,일,경,경기도,과천시,소재,지식,정보,타운,공동,주택,신축,공사,현장,파일,이동,중,와이어로프,줄걸이,이탈,인근,작업,중,공종,작업자,전도,파일,사망,해임,원심력,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,최근,평택,구조물,붕괴,안산,흙막이,지보공,붕괴,시흥,거푸집,붕괴,등,건설,현장,붕괴,사고,발생,해빙기,등,취약,시기,붕괴,사고,집중,우려,실정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,일,경기도,평택시,소재,물류,창고,신축,공사,현장,층,램프,바닥,슬래브,철근,조립,작업,중,거더,전도,빔,데크,플레이트,작업,명,추락,명,사망,부상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,충남,아산시,속국,호선,건설,공사,현장,크롤러,크레인,붐,연장,붐,하부,연결핀,제거,중,붐,하강,근로자,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,금,경기,용인,속국,호선,건설,공사,현장,크롤러,크레인,붐,연장,붐,하부,연결핀,제거,순간,연결부,근로자,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,화,분,경,대,구,광역시,달성군,소재,오수관,설치,공사,현장,오수관,설치,지장,물,우수,암거,하부,터파기,바닥,작업,중,좌측,사면,토사,붕괴,근로자,매몰,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,일,분,대구,달서구,소재,아파트,균열,보수,도장,공사,현장,달비계,작업대,작업,중,옥상,외부,설치,장식,구조물,일부,파손,아래,낙하,재해자,타격,추정,재해자,아래,지면,추락,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,월,서울시,서초구,서초동,소재,업무,시설,신축,공사,현장,흙막이,가시설,번,단의,우각,부,스트러트,밀림방지,부재,설치,작업,중,재해자,작업,구간,상부,설치,중,띠장,하부,재해자,두부,강타,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,목,분경,대구광역시,동구,신천동,소재,호텔,신축,현장,지하,층,직영,근로자,재해,자남,보통,인부,이동식비계,위,동료,작업자,조적,벽체,해체작업,중,벽체,일부,이동식비계,상부,작업,중,재해자,방향,재해,발생,병원,이송,치료,중,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,금,경,종시,소재,공공,주택,건설,사업,현장,재해자,갱폼,상부,작업발판,위,작업,중,갱폼,외벽,탈락,갱폼,아래,추락,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,금,시경,대구광역시,동구,도동,소재,지붕,보수,공사,현장,재해자,슬레이트,지붕,위,칼라,강판,정리,중,재해자,슬레이트,지붕,일부,파손,미터,아래,바닥,추락,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,토,경기도,평택시,현덕면,소재,토목,조경,공사,현장,재해자,소나무,등,식재,목,주,임시,식장,운반,식재,작업,완료,이동,중진,입,바닥,정지,작업,후진,굴삭기,바퀴,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,토,강원도,원주시,지정면,소재,수목,식공,사,현장,재해자,수목,식공,사,느티나무,분,포장,작업,중,돌풍,느티나무,병원,후송,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,월,경,포,시설,신축,공사,중,기계식,주차,설비,공사,현장,판넬,설치,공사,협력,업체,소속,재해자,기계식,주차장,내부,용접,불티,비산,소화,작업,중,하강,균형추,철골부,사이,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,도시,가스,공급,관,설치작업,중,터파기,토사,일부,붕괴,매몰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,경,제주시,소재,공동,주택,신축,공사,현장,지상,층,측,면부,비계,설치,바닥,정리,작업,중,작업,구간,설치,벽체,거푸집,이,전도,전도,거푸집,적재,자재,피재,협착,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,금,분경,화력,발전,건설,현장,하도급,업체,근로자,아르곤,가스,용접,실드,가스,배관,직경,퍼징,댐,확인,산소,결핍,질식,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,화,경남,김해시,소재,초등,학교,신축,공사,현장,지상,바,슬래브,콘크리트,타설작업,진행,중,상부,하중,거푸집,동바리,데크플레이트,붕괴,부상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,수,경기,화성시,소재,타워,신축,공사,현장,지상,바닥,래,브,콘크리트,타설작업,진행,중,상부,하중,시스템동바리,데크플레이트,붕괴,부상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,화,경남,창원시,소재,물류,센터,신축,공사,현장,지상,바닥,래,브,콘크리트,타설작업,진행,중,상부,하중,지지,잭서포트,데크플레이트,붕괴,부상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,월,경북,안동시,소재,타운,건설,공사,현장,크레인,조정,실,바닥,슬래브,캔틸레버,구조물,콘크리트,타설작업,진행,중,데크플레이트,목재,각재,상부,하중,철근,콘,크리드,보,측면,이탈,슬래브,번,스팬,붕괴,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,금,시경,서울,성동구,소재,사옥,신축,공사,현장,지하,소화,저수조,내부,방수공사,작업,중,에폭시,희석제,증기,점,화재,발생,보수,공사,작업,중,근로자,명,화상,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,월,강원도,횡성군,소재,도로,확장,공사,현장,작업,명,절토,사면,보호용,판넬,설치작업,진행,중,판넬,전도,재해자,명,판넬,병원,치료,중,사망,동료,작업자,명,전도,판넬,부상,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,서울,강동구,소재,근,공동,주택,신축,현장,비계공,재해자,외부,비계,해체작업,비계,상부,이동,중,몸,중심,아래,지면,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,월,경북,구미,소재,공장,철거공사,현장,해체,공인,재해자,경사,지붕,상부,판넬,해체작업,중,선,라이트,순간,파단,아래,콘크리트,바닥,추락,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,화,부산,강서구,소재,하수,처리,시설,공사,현장,전기공,재해자,고소작업대,탑승,천장,전선관,내,전선,인입,작업,진행,중,고소작업대,과상,재해자,고소작업대,난간,천장,구조물,사이,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,월,경북,안동,소재,폐기물,처리,시설,건설,공사,현장,바닥,슬래브,콘크리트,타설작업,중,데크플레이트,지지,목재,각재,슬래브,하중,작업,하중,철근,콘크리트,보,측면,이탈,바닥,슬래브,붕괴,콘크리트,공,명,아래,지상,추락,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,일수,충남,금산군,소재,아파트,신축,공사,현장,옥상,갱폼,수평,부재,용단작업,중,발생,불티,층,부직포,화재,발생,대피,작업자,중,화상,사망,명,부상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,토,서울시,강남구,논현동,소재,빌딩,신축,공사,현장,타워크레인,임대,업체,소속,근로,명,건물,전면,설치,텔레스,코핑,작업,길,인,설치,후,상부,구조물,중,하부,안전,상태,지지,핀,에서,이탈,순간,상부,구조물,등,전체,아래,지상,층,상하부,설치,발판,상,피재,명,상부,구조물,충격,등,손상,발판,난간,등,사망,명,부상,재해,추정,,,,,,,,,,,,,
54,토,분경,경북,구미시,도개면,소재,건설,고속도,민간,투자,사업,공구,터널,방향,굴진,지점,협력,업체,소속,터널,보조,공인,피재,자세,남,태,국세,남,태,국가,장약,작업,중,막,장면,하부,도화선,작업,도구,등,정리,중,막,장면,우측,상부,약,높이,암반,피재,매몰,명,사망,해임,,,,,,,,,,,,,,,,,,,,,
55,수,분경,경북,구미시,도개면,소재,간,속국,건설,공구,현장,형틀목공,교량,하부,설치,시스템,동바리,해체작업,중,시스템,동바리,상,이송,후,치료,중,토,경,사망,재해,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,년,월,일,분,경상북도,경주시,소재,건설,주간,복선,전철,공구,노반,신설,현장,재해자,터널,라이닝,거푸집,이동,설치작업,중,절연,피복,손상,주전원,선상,충전부,접촉,유로폼,손,순간,감전,병원,이송,가료,중,사망,재해,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,금,경남,통영시,도산면,소재,종합,건설,시공,산업,공장,신축,공사,현장,철골,공인,재해,자세,남가,철골,지붕,거,지붕,트러스,상부,퍼린,형,시공,작업,준비,중,몸,중심,지상,인근,병원,후송,치료,중,목,경,사망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,년,월,일,분경,충북,영동군,면,리,소재,종합,건설,주,시공,중,선,간,터널,보수,보강,기타,공사,현장,협력,업체,주,소속,피재,명,남,미장공,터널,내부,보수,보강,공사,관련,미장,작업,터널,입구,상행선,하행선,사이,공사,자재,야적,장소,이동,중,터널,입구,전방,운행,중,화물,열차,충돌,사망,것,추정,,,,,,,,,,,,,,,
59,피재,농업용수,공급,운암,취수구,기존,취수탑,수중,가물막이,철거,취수탑,내부,사전,조사,중,취수탑,공급,호수,물,수중,가물막이,개구부,유속,피재,몸,균형,동시,몸,상체,개구부,호흡,곤란,사망,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,일,경,전남,여수시,봉계,소재,도료,시공,유치원,외벽,도색공,사,현장,차량탑재형,고소작업대,일,명,스카이,명,근로자,탑승,도장,작업,중,고소작업대,붐,아래,하부,층,벽체,창문,부위,도장작업,정여,도장공,정,사망,작업대,탑승,근로자,명,부상,경상,해임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,월,분경,고양시,일산,동구,백석동,소재,공무,주,종합,터미널,지하층,설비,공사,현장,가스,배관,용접,작업,중,용접,불티,등,화재,사망,중상,경상,명,등,명,질식,등,재해,발생,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,경기도,수원시,구,동,택지,개발,지구,소재,주,건설,시공,주상,복합,신축,공사,현장,옥탑,공사,타워크레인,호기,상승,작업,중,지브,우측,선회,뒤쪽,전복,설,해체,작업자,명과,주산업,안전,소속,감독,명,탈출,타워,운전원,탈출,턴테이블,추락,인근,병원,후송,치료,도중,오후,시,분경,사망,층,구조물,코어,부분,계단,알폼,작업,건설,소속,부상자,전도,타워크레인,탈락,알폼,재해자,등,가격,앞쪽,알폼,가슴,부위,충돌,해임
63,년,월,일,일,경,충남,당진시,석문면,소재,발전소,보일러,설비,정비,공사,현장,피재,조남,세,보일러,내부,정비,작업,작업발판,설치,중,몸,중심,아래,설치,작업발판,바닥,사망,재해,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,화,분경,서울,송파구,신천동,소재,건설,주,월드,신축,공사,현장,협력,업체,주,설비,일용직,근로자,피재,남,배관공,세이,엔터,테,트,동,층,내,냉각수,배관,작업,공기압,테스트,압력,배관,끝,단부,캡,공기압,테스트,배관,끝,단부,사용,연결부,볼트,해체작업,중,배관,내부,압력,캡,이탈,이,머리,사망,재해,추정,,,,,,,,,,,,,,,,,
65,년,월,일월,시,분경,경기도,용인시,기흥구,동,소재,태양광,발전,시설,공사,현장,피재,자세,남,판넬,공가,신축,건물,옥탑,태양광,판넬,철골,구조물,설치,슬라브,단부,바닥,개구부,ㄷ,형태,약,위,이동식,사다리,철재,사다리,자,위,작업,중,아래,지상,바닥,추락,사망,것,추정,해임,,,,,,,,,,,,,,,,,,,,,,,
66,경,경기,성남시,분당구,판교동,소재,단독,주택,신축,공사,현장,재해,자남,화물차,기사,화물차,적재함,철근,다발,하차,작업,중,적재함,철근,다발,편심,나머지,철근,다발,톤,재해자,낙,사망,재해,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,년,월,일화,분경,충남,당진시,면,소재,공장,신축,공사,중,철골,설치,공사,현장,개발,주,소속,피재,자남,세,철골,상부,거더,볼트,체결,작업,완료,철골,인양,걸이용,샤클,거더,상부,이동,중,몸,중심,하부,콘크리트,바닥,사망,재해,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,피재,남,조립,원,동료,작업자,명과,타워크레인,기,설치,마스트,위,마스트,개,마스트,높이,연장,설치,최종,마스트,단,회전체,턴테이블,핀,고정,작업,중,상부,구조,균형,상승,장치,텔,레스코,픽,케이지,발판,유압,장치,조작,하강,피재,아래,주차장,상부,콘크리트,바닥,텔,레스코,픽,케이지,후송,치료,중,일,후,사망,운전원,부상,해임,,,,,,,,,,,,,,,
