,word
0,하
1,에
2,.
3,의
4,을
5,는
6,한다
7,","
8,여야
9,를
10,작업
11,등
12,이
13,여
14,고
15,및
16,설치
17,한
18,은
19,안전
20,가
21,도록
22,시
23,있
24,으로
25,되
26,(
27,)
28,경우
29,사용
30,지
31,할
32,과
33,로
34,수
35,않
36,에서
37,며
38,확인
39,기
40,방지
41,근로자
42,이상
43,와
44,조치
45,된
46,상태
47,또는
48,게
49,후
50,위험
51,사항
52,때
53,콘크리트
54,실시
55,적
56,전
57,크레인
58,발생
59,다음
60,공사
61,장비
62,인양
63,성
64,점검
65,방법
66,굴착
67,장소
68,-
69,계획
70,․
71,관리
72,중
73,타
74,거나
75,것
76,시공
77,지반
78,1
79,어야
80,여부
81,위치
82,부재
83,·
84,구조
85,위하
86,물
87,인
88,발판
89,어
90,용
91,하중
92,해체
93,운반
94,검토
95,조립
96,따라
97,2
98,기계
99,대한
100,설계
101,장치
102,구조물
103,거푸집
104,현장
105,설비
106,확보
107,같
108,의한
109,예방
110,없
111,보건
112,고려
113,다
114,수립
115,설
116,자재
117,고정
118,그
119,재해
120,위한
121,가설
122,금지
123,안
124,준
125,배치
126,사전
127,필요
128,추락
129,내
130,이용
131,에게
132,주
133,순서
134,낙하
135,기준
136,유지
137,착용
138,높이
139,부착
140,지침
141,용접
142,이동식
143,로프
144,유무
145,도
146,공법
147,출입
148,이동
149,보강
150,대
151,위해
152,반드시
153,면
154,이나
155,난간
156,화재
157,철근
158,주변
159,별
160,<
161,충분
162,수평
163,>
164,가능
165,볼트
166,연결
167,각
168,건설
169,비계
170,상부
171,작업대
172,방향
173,하부
174,KOSHA
175,방호
176,추진
177,시설
178,기구
179,전기
180,제거
181,차량
182,신호
183,감독자
184,손상
185,조건
186,GUIDE
187,흙막이
188,보
189,주의
190,m
191,된다
192,와이어로프
193,제
194,작업자
195,작업장
196,물질
197,계획서
198,나
199,따른다
200,위
201,수직
202,조사
203,시켜야
204,폼
205,는지
206,3
207,포함
208,대책
209,될
210,관한
211,전도
212,C
213,보호구
214,변형
215,적재
216,기초
217,통로
218,그림
219,따른
220,가스
221,견고
222,동바리
223,재료
224,작성
225,작동
226,므로
227,부분
228,으므로
229,발파
230,재
231,바닥
232,강도
233,즉시
234,매설
235,상
236,차
237,내부
238,아야
239,우려
240,곳
241,계측
242,받
243,형
244,자
245,제작
246,선정
247,부
248,운전
249,앵커
250,조
251,강관
252,벽
253,5
254,유해
255,공간
256,취급
257,보호
258,인한
259,적정
260,운전자
261,내용
262,신호수
263,지지
264,전선
265,사고
266,충분히
267,일
268,시키
269,교육
270,대하
271,측정
272,줄
273,단부
274,길이
275,까지
276,해
277,적합
278,침하
279,해야
280,해당
281,관련
282,같이
283,기타
284,들
285,토사
286,방
287,정하
288,절단
289,붕괴
290,체결
291,상황
292,판
293,화
294,요인
295,변경
296,지하
297,간격
298,지정
299,안정
300,10
301,이내
302,아
303,시간
304,동시
305,두
306,기둥
307,류
308,벽체
309,반입
310,이하
311,:
312,시작
313,수행
314,지붕
315,폭
316,거더
317,블록
318,펌프
319,계
320,유도
321,중지
322,관
323,중량
324,아니
325,결정
326,완료
327,띠장
328,4
329,관계
330,처리
331,전하
332,미터
333,탑
334,최소
335,단계
336,붐
337,감전
338,초과
339,항
340,종류
341,간
342,불
343,진행
344,함
345,통제
346,떨어짐
347,화기
348,고소
349,적절
350,시스템
351,플레이트
352,2012
