,0,1
0,<unk>,0.0
1,<s>,0.0
2,</s>,0.0
3,▁,-3.2943
4,.,-3.32882
5,의,-3.39427
6,을,-3.52734
7,▁한다,-3.60567
8,",",-3.6581
9,를,-3.68513
10,에,-4.16349
11,하여야,-4.21162
12,는,-4.29874
13,▁등,-4.36888
14,및,-4.51492
15,이,-4.61172
16,한,-4.7456
17,가,-4.75997
18,은,-4.7779
19,▁작업,-5.08503
20,),-5.18738
21,(,-5.25568
22,할,-5.27058
23,▁하여야,-5.32371
24,▁시,-5.3854
25,과,-5.39644
26,▁설치,-5.41301
27,으로,-5.43474
28,로,-5.49216
29,하는,-5.51384
30,▁않도록,-5.61527
31,▁수,-5.67664
32,▁하며,-5.68193
33,와,-5.6839
34,된,-5.76089
35,게,-5.76826
36,▁또는,-5.76829
37,▁경우에는,-5.80676
38,에는,-5.82652
39,▁있는,-5.83967
40,▁경우,-5.84924
41,▁근로자,-5.85022
42,지,-5.94868
43,도록,-5.95882
44,▁사용,-5.98289
45,▁설치하여야,-5.98383
46,▁콘크리트,-6.00217
47,▁다음,-6.00893
48,▁후,-6.01927
49,▁이상,-6.07006
50,한다,-6.09227
51,히,-6.11503
52,시,-6.14182
53,▁크레인,-6.19598
54,▁사항,-6.25784
55,에서,-6.26271
56,하지,-6.26885
57,인,-6.27094
58,·,-6.27104
59,하여,-6.28064
60,▁위하여,-6.28472
61,▁대,-6.31875
62,▁발생,-6.34163
63,▁때에는,-6.34172
64,▁따라,-6.34441
65,▁장비,-6.3675
66,▁확인하여야,-6.36885
67,▁작업을,-6.3775
68,▁조치,-6.383
69,▁실시,-6.38811
70,▁것,-6.43667
71,▁위,-6.47095
72,▁하고,-6.47606
73,▁부재,-6.4958
74,하고,-6.51332
75,▁의한,-6.52327
76,▁위험,-6.54381
77,▁그,-6.56891
78,▁거푸집,-6.57273
79,▁점검,-6.59502
80,야,-6.60918
81,고,-6.62593
82,용,-6.65721
83,▁인양,-6.68258
84,▁여부,-6.70409
85,도,-6.70725
86,하,-6.71808
87,▁안전,-6.71966
88,▁타설,-6.71967
89,▁중,-6.72982
90,▁자재,-6.74065
91,▁전에,-6.74716
92,▁필요,-6.75096
93,▁있도록,-6.75337
94,▁준수,-6.76838
95,다,-6.77575
96,▁굴착,-6.78217
97,▁시공,-6.78629
98,▁사전,-6.79538
99,▁상태,-6.80365
100,기,-6.80599
101,▁2,-6.80978
102,▁확인,-6.81373
103,▁각,-6.81929
104,▁전,-6.82503
105,▁작업발판,-6.83228
106,▁반,-6.83684
107,▁1,-6.84288
108,▁등에,-6.8452
109,▁운반,-6.85707
110,▁위해,-6.86185
111,▁지반,-6.8697
112,되지,-6.87461
113,▁해체,-6.87757
114,드시,-6.88437
115,나,-6.91674
116,▁이동,-6.91968
117,▁위치,-6.92493
118,▁고정,-6.92524
119,▁수립,-6.93318
120,▁고려하여,-6.9401
121,▁조립,-6.94034
122,▁이동식,-6.94638
123,이나,-6.95518
124,▁방지하기,-6.96194
125,▁구조물,-6.96742
126,▁공사,-6.98214
127,▁때,-6.98993
128,▁검토,-6.99647
129,▁이,-7.00306
130,어야,-7.01459
131,▁<,-7.02585
132,▁설치하고,-7.03076
133,▁계획,-7.04507
134,되는,-7.06804
135,m,-7.082
136,▁충분한,-7.08481
137,▁GUIDE,-7.08517
138,하기,-7.09166
139,▁방지,-7.09781
140,▁같은,-7.09962
141,▁유지,-7.10745
142,▁사용하여야,-7.12095
143,▁확인하고,-7.12373
144,▁와이어로프,-7.13117
145,▁용접,-7.13577
146,▁높이,-7.13717
147,▁배치,-7.14134
148,▁따른다,-7.16606
149,▁할,-7.17156
150,▁로프,-7.18873
151,▁관리감독자,-7.19075
152,▁출입,-7.19076
153,▁없,-7.19551
154,▁유무,-7.19797
155,▁구조,-7.20082
156,▁관한,-7.20226
157,하거나,-7.21439
158,그림,-7.21544
159,▁KOSHA,-7.21852
160,▁따른,-7.21939
161,▁안전난간,-7.22061
162,될,-7.23057
163,▁안전한,-7.23193
164,▁등으로,-7.23314
165,▁안전대,-7.23325
166,▁사용하여,-7.23597
167,▁기계,-7.23665
168,▁안전성,-7.24234
169,▁착용,-7.24684
170,▁확보,-7.24686
171,▁금지,-7.25216
172,▁현장,-7.25476
173,▁방법,-7.26734
174,▁즉,-7.26832
175,상,-7.27734
176,되도록,-7.27901
177,▁이용하여,-7.29557
178,▁C,-7.29561
179,면,-7.2993
180,▁볼트,-7.30106
181,거나,-7.31506
182,▁우려,-7.31904
183,서는,-7.33704
184,▁흙막이,-7.34145
185,▁적재,-7.34544
186,▁내,-7.35024
187,▁제거,-7.35142
188,진,-7.3548
189,▁재해,-7.35592
190,▁시에,-7.36553
191,▁하중,-7.36804
192,▁충분,-7.36889
193,▁근로자에게,-7.37347
194,▁철근,-7.37794
195,▁등이,-7.38658
196,▁제,-7.39081
197,▁작업자,-7.39853
198,▁전도,-7.39902
199,▁설치하여,-7.40203
200,▁같다,-7.40341
201,▁작업장,-7.4105
202,▁비계,-7.4181
203,▁주의,-7.4183
204,▁예방,-7.41854
205,인한,-7.42236
206,▁관리,-7.42578
207,▁화재,-7.43071
208,▁주변,-7.44502
209,cm,-7.45372
210,▁동바리,-7.45385
211,▁대하여,-7.4593
212,▁낙하,-7.4636
213,▁있으므로,-7.46677
214,▁신호수,-7.46733
215,▁길이,-7.47042
216,▁재료,-7.4726
217,▁부착,-7.47328
218,▁손상,-7.47681
219,▁같,-7.4773
220,서,-7.47918
221,▁있,-7.48878
222,적,-7.48906
223,▁지침,-7.49025
224,▁운전자,-7.50164
225,▁안전조치,-7.51449
226,▁기초,-7.51686
227,▁기타,-7.5213
228,▁아니,-7.52436
229,▁설계,-7.53793
230,▁장소에,-7.54698
231,▁이상이,-7.55017
232,▁연결,-7.57117
233,▁해당,-7.57639
234,▁취급,-7.57814
235,▁통,-7.57993
236,▁관련,-7.58034
237,▁차량,-7.5811
238,▁순서,-7.58411
239,▁추락,-7.59767
240,조,-7.60348
241,해야,-7.60662
242,▁선정,-7.60847
243,▁보,-7.61052
244,▁된다,-7.61242
245,▁변형,-7.61291
246,▁상부,-7.61325
247,▁가설,-7.61462
248,:,-7.61669
249,▁설비,-7.61901
250,되어야,-7.62055
251,▁장소,-7.62322
252,운,-7.63217
253,일,-7.63648
254,▁강도,-7.6565
255,▁가능한,-7.6584
256,▁하여,-7.65915
257,부,-7.67569
258,▁수평,-7.68192
259,▁제작,-7.68328
260,▁점검하고,-7.68517
261,해,-7.68553
262,▁다,-7.69601
263,▁하부,-7.70071
264,작업,-7.70677
265,▁견고,-7.70937
266,▁포함,-7.71108
267,기구,-7.71501
268,▁발판,-7.71701
269,상태,-7.71824
270,▁작업대,-7.72258
271,▁수직,-7.72586
272,▁작업에,-7.73434
273,▁띠장,-7.73598
274,▁철저,-7.7401
275,▁추진,-7.74409
276,▁해체작업,-7.74566
277,미터,-7.74681
278,자,-7.74716
279,▁떨어짐,-7.74884
280,▁반입,-7.75242
281,▁침하,-7.75638
282,▁보호구,-7.76104
283,▁적정,-7.76363
284,형,-7.769
285,▁보강,-7.77343
286,▁확보하여야,-7.77384
287,▁낙하물,-7.77805
288,시켜야,-7.78303
289,▁상,-7.78954
290,▁없는,-7.798
291,▁실시하고,-7.79998
292,되어,-7.80445
293,▁이내,-7.80552
294,▁작업방법,-7.80814
