,id,title,sentence,title_sentence
0,AC-B-00000,철골 구조물 상부에서 추락,'22.3.00(토) 08:00분경 충남 소재 신축공사 현장에서 철골 가조립 작업 중 인접한 구조물과 간섭되어 끼여있던 철골부재의 위치조정을 위해 이동식크레인으로 인양하는 과정에서 철골이 튕겨져 나오며 그 반동으로 지상 1층 바닥으로 떨어져 사망,"철골 구조물 상부에서 추락,'22.3.00(토) 08:00분경 충남 소재 신축공사 현장에서 철골 가조립 작업 중 인접한 구조물과 간섭되어 끼여있던 철골부재의 위치조정을 위해 이동식크레인으로 인양하는 과정에서 철골이 튕겨져 나오며 그 반동으로 지상 1층 바닥으로 떨어져 사망"
1,AC-B-00001,이동식크레인 벨트슬링에 발을 걸고 매달린 채 이동 중 추락,'22.2.00(월) 11:00경 경기 소재 근생(제조업소) 증축 현장에서 패널공 2명이 지붕패널 설치작업 후 이동식크레인에 매달려 있던 벨트슬링에 발을 걸고 매달린 채 하강 중 몸의 균형을 잃고 떨어져 사망,"이동식크레인 벨트슬링에 발을 걸고 매달린 채 이동 중 추락,'22.2.00(월) 11:00경 경기 소재 근생(제조업소) 증축 현장에서 패널공 2명이 지붕패널 설치작업 후 이동식크레인에 매달려 있던 벨트슬링에 발을 걸고 매달린 채 하강 중 몸의 균형을 잃고 떨어져 사망"
2,AC-B-00002,데크플레이트 설치 작업 중 추락,'22.01.15(토) 13:30분경 부산 진구 소재 신축공사 현장 지상 2층 철골보 상부에서 테크플레이트 설치 작업 중 몸의 중심을 잃고 5.7m 아래 1층 콘크리트 바닥으로 추락하여 사망한 재해임,"데크플레이트 설치 작업 중 추락,'22.01.15(토) 13:30분경 부산 진구 소재 신축공사 현장 지상 2층 철골보 상부에서 테크플레이트 설치 작업 중 몸의 중심을 잃고 5.7m 아래 1층 콘크리트 바닥으로 추락하여 사망한 재해임"
3,AC-B-00003,전도된 굴삭기에 깔림,'22.01.26 09:05분경 광주 광산구 소재 아파트 신축공사 현장에서 굴착기 운전자가 오수맨홀 설치작업을 위해 굴착기로 맨홀 상부구체를 인향한 채로 선회하던 중 굴착기가 중심을 잃고 넘어지면서 운전석 출입문 쪽에 운전자가 깔려 사망한 재해임,"전도된 굴삭기에 깔림,'22.01.26 09:05분경 광주 광산구 소재 아파트 신축공사 현장에서 굴착기 운전자가 오수맨홀 설치작업을 위해 굴착기로 맨홀 상부구체를 인향한 채로 선회하던 중 굴착기가 중심을 잃고 넘어지면서 운전석 출입문 쪽에 운전자가 깔려 사망한 재해임"
4,AC-B-00004,방음벽 설치작업 중 작업대에서 추락,"2021. 12. 5.(일) 14:55분경 부산광역시 남구 문현동 소재 아파트 신축공사 현장에서 작업자 2
명이 이동식 크레인에 설치된 작업대에 탑승하여 방음벽 설치 작업 중, 벨트 슬링이 후크에서
이탈되어 작업대가 기울어지면서 바닥(h≒6.2m)으로 떨어져 1명 사망, 1명 부상한 재해임.","방음벽 설치작업 중 작업대에서 추락,2021. 12. 5.(일) 14:55분경 부산광역시 남구 문현동 소재 아파트 신축공사 현장에서 작업자 2
명이 이동식 크레인에 설치된 작업대에 탑승하여 방음벽 설치 작업 중, 벨트 슬링이 후크에서
이탈되어 작업대가 기울어지면서 바닥(h≒6.2m)으로 떨어져 1명 사망, 1명 부상한 재해임."
5,AC-B-00005,아스콘 포장작업 중 롤러 장비에 충돌·협착,"2021. 12. 01.(수) 18:40경 경기도 안양시 만안구 안양동소재 지중선로 신설공사 현장에서
지중 전기관로 매설부위 아스콘 재포장 작업 중 운전자가 콤비롤러(3.7Ton) 운전석을 이탈하자
롤러가 움직이면서 전방의 작업자들과 충돌하여 작업자 3명이 롤러에 깔려 사망한 재해임","아스콘 포장작업 중 롤러 장비에 충돌·협착,2021. 12. 01.(수) 18:40경 경기도 안양시 만안구 안양동소재 지중선로 신설공사 현장에서
지중 전기관로 매설부위 아스콘 재포장 작업 중 운전자가 콤비롤러(3.7Ton) 운전석을 이탈하자
롤러가 움직이면서 전방의 작업자들과 충돌하여 작업자 3명이 롤러에 깔려 사망한 재해임"
6,AC-B-00006,우레탄 폼 캔 폭발,"‘21.09.7.(화) 0000000의 음향시스템 설치 현장에서 분리발주에 의해 타 업체의 우레탄
폼 작업이후 스크린 프레임 설치 용접작업 중 우레탄 폼 캔 충전가스에 용접불티가
점화되어 폭발하면서 3명이 부상을 입은 재해임","우레탄 폼 캔 폭발,‘21.09.7.(화) 0000000의 음향시스템 설치 현장에서 분리발주에 의해 타 업체의 우레탄
폼 작업이후 스크린 프레임 설치 용접작업 중 우레탄 폼 캔 충전가스에 용접불티가
점화되어 폭발하면서 3명이 부상을 입은 재해임"
7,AC-B-00007,지붕 슬래브 해체 작업 중 붕괴,"2021.11.03.(수) 14:25경 강원도 원주시 단계동 소재 단독주택 철거공사 현장에서, 콘크리트
단층 창고의 지붕 슬래브를 잘라내던 중, 지붕 슬래브가 무너져 창고 내부에 있던 재해자가
벽과 떨어진 슬래브 사이에 흉부가 협착되어 사망함","지붕 슬래브 해체 작업 중 붕괴,2021.11.03.(수) 14:25경 강원도 원주시 단계동 소재 단독주택 철거공사 현장에서, 콘크리트
단층 창고의 지붕 슬래브를 잘라내던 중, 지붕 슬래브가 무너져 창고 내부에 있던 재해자가
벽과 떨어진 슬래브 사이에 흉부가 협착되어 사망함"
8,AC-B-00008,H빔 절단 작업 중 빔 전도,"2021. 10. 22.(금) 09:00경 인천광역시 연수구 소재 중학교 신축공사 현장에서 재해자가 가설
울타리 철거를 위해 가스 절단기를 사용해 H빔(126kg, 6m)을 절단하던 중 해당 빔이 재해자
쪽으로 전도되어 사망한 재해임","H빔 절단 작업 중 빔 전도,2021. 10. 22.(금) 09:00경 인천광역시 연수구 소재 중학교 신축공사 현장에서 재해자가 가설
울타리 철거를 위해 가스 절단기를 사용해 H빔(126kg, 6m)을 절단하던 중 해당 빔이 재해자
쪽으로 전도되어 사망한 재해임"
9,AC-B-00009,PC슬래브 설치 작업 중 추락,"2021년 8월 26일(목) 15:30경 경기도 오산시 소재 물류센터 신축공사 현장에서 크레인을
사용하여 7층 PC슬라브 거치 후 PC슬라브에 체결된 줄걸이가 완전히 해체되지 않은 상태에서
크레인을 상승시켜 PC슬라브 위에 서있던 재해자가 6층 바닥으로 추락하여 사망한 재해임","PC슬래브 설치 작업 중 추락,2021년 8월 26일(목) 15:30경 경기도 오산시 소재 물류센터 신축공사 현장에서 크레인을
사용하여 7층 PC슬라브 거치 후 PC슬라브에 체결된 줄걸이가 완전히 해체되지 않은 상태에서
크레인을 상승시켜 PC슬라브 위에 서있던 재해자가 6층 바닥으로 추락하여 사망한 재해임"
