,word,Unnamed: 1,Unnamed: 2,Unnamed: 3,category,Unnamed: 5,T_F,word2,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,대우,,,,NNP,*,F,대우,*,*,*,*,*
1,구글,,,,NNP,*,T,구글,*,*,*,*,*
2,제작장,,,,NNP,*,T,제작장,*,*,*,*,*
3,부등침하,,,,NNP,*,F,부등침하,*,*,*,*,*
4,PSC거더,,,,NNP,*,F,PSC거더,*,*,*,*,*
5,기초콘크리트,,,,NNP,*,F,기초콘크리트,*,*,*,*,*
6,평탄성,,,,NNP,*,T,평탄성,*,*,*,*,*
7,횡방향,,,,NNP,*,T,횡방향,*,*,*,*,*
8,전도방지조치,,,,NNP,*,F,전도방지조치,*,*,*,*,*
9,PS강재,,,,NNP,*,F,PS강재,*,*,*,*,*
10,침하현상,,,,NNP,*,T,침하현상,*,*,*,*,*
11,보의,,,,NNP,*,F,보의,*,*,*,*,*
12,설계도서,,,,NNP,*,F,설계도서,*,*,*,*,*
13,정착장치,,,,NNP,*,F,정착장치,*,*,*,*,*
14,프리스트레스,,,,NNP,*,F,프리스트레스,*,*,*,*,*
15,쉬스관,,,,NNP,*,T,쉬스관,*,*,*,*,*
16,간격재,,,,NNP,*,F,간격재,*,*,*,*,*
17,모르터,,,,NNP,*,F,모르터,*,*,*,*,*
18,포스트텐션,,,,NNP,*,T,포스트텐션,*,*,*,*,*
19,가공 선로,,,,NNP,*,F,가공 선로,*,*,*,*,*
20,감전재해,,,,NNP,*,F,감전재해,*,*,*,*,*
21,방지조치,,,,NNP,*,F,방지조치,*,*,*,*,*
22,정착구,,,,NNP,*,F,정착구,*,*,*,*,*
23,지압면,,,,NNP,*,T,지압면,*,*,*,*,*
24,산소결핍증,,,,NNP,*,T,산소결핍증,*,*,*,*,*
25,일산화탄소,,,,NNP,*,F,일산화탄소,*,*,*,*,*
26,양생쉬트,,,,NNP,*,F,양생쉬트,*,*,*,*,*
27,인장장치,,,,NNP,*,F,인장장치,*,*,*,*,*
28,인장력,,,,NNP,*,T,인장력,*,*,*,*,*
29,최대반력,,,,NNP,*,T,최대반력,*,*,*,*,*
30,작업지휘자,,,,NNP,*,F,작업지휘자,*,*,*,*,*
31,쉬트,,,,NNP,*,F,쉬트,*,*,*,*,*
32,정격하중,,,,NNP,*,T,정격하중,*,*,*,*,*
33,적재,,,,NNP,*,F,적재,*,*,*,*,*
34,선회반경,,,,NNP,*,T,선회반경,*,*,*,*,*
35,운반로,,,,NNP,*,F,운반로,*,*,*,*,*
36,공공도로,,,,NNP,*,F,공공도로,*,*,*,*,*
37,도로사정,,,,NNP,*,T,도로사정,*,*,*,*,*
38,제약조건,,,,NNP,*,T,제약조건,*,*,*,*,*
39,고압송전선,,,,NNP,*,T,고압송전선,*,*,*,*,*
40,통신케이블,,,,NNP,*,T,통신케이블,*,*,*,*,*
41,방호시설,,,,NNP,*,T,방호시설,*,*,*,*,*
42,안전조치,,,,NNP,*,F,안전조치,*,*,*,*,*
43,안전대,,,,NNP,*,F,안전대,*,*,*,*,*
44,개인보호구,,,,NNP,*,F,개인보호구,*,*,*,*,*
45,방호장치,,,,NNP,*,F,방호장치,*,*,*,*,*
46,관리감독자,,,,NNP,*,F,관리감독자,*,*,*,*,*
47,위험요인,,,,NNP,*,T,위험요인,*,*,*,*,*
48,안전수칙,,,,NNP,*,T,안전수칙,*,*,*,*,*
49,출입로,,,,NNP,*,F,출입로,*,*,*,*,*
50,괴고,,,,NNP,*,F,괴고,*,*,*,*,*
51,작업반경,,,,NNP,*,T,작업반경,*,*,*,*,*
52,양중기,,,,NNP,*,F,양중기,*,*,*,*,*
53,정격용량,,,,NNP,*,T,정격용량,*,*,*,*,*
54,작업계획서,,,,NNP,*,F,작업계획서,*,*,*,*,*
55,안전난간,,,,NNP,*,T,안전난간,*,*,*,*,*
56,통로용,,,,NNP,*,T,통로용,*,*,*,*,*
57,평탄성,,,,NNP,*,T,평탄성,*,*,*,*,*
58,다짐상태,,,,NNP,*,F,다짐상태,*,*,*,*,*
59,운전원,,,,NNP,*,T,운전원,*,*,*,*,*
60,해지장치,,,,NNP,*,F,해지장치,*,*,*,*,*
61,권과방지장치,,,,NNP,*,F,권과방지장치,*,*,*,*,*
62,경보장치,,,,NNP,*,F,경보장치,*,*,*,*,*
63,모멘트 리미트,,,,NNP,*,F,모멘트 리미트,*,*,*,*,*
64,운반용,,,,NNP,*,T,운반용,*,*,*,*,*
65,인양로프,,,,NNP,*,F,인양로프,*,*,*,*,*
66,리프팅 홀,,,,NNP,*,T,리프팅 홀,*,*,*,*,*
67,코핑상부,,,,NNP,*,F,코핑상부,*,*,*,*,*
68,삼각프레임,,,,NNP,*,T,삼각프레임,*,*,*,*,*
69,받침쐐기,,,,NNP,*,F,받침쐐기,*,*,*,*,*
70,낙하,,,,NNP,*,F,낙하,*,*,*,*,*
71,방지망,,,,NNP,*,T,방지망,*,*,*,*,*
72,돌출철근,,,,NNP,*,T,돌출철근,*,*,*,*,*
