,시설장소,위치장소
0,간척매립,['북측 매립지 2구역' '준설선' '제방구간 연약지반' '외부' '내부']
1,갑문,['외부' nan]
2,계류시설,"['인접주변' '외부' '콘크리트블록 상단' '내부' '해양작업선' '블록제작장 내' '제작장' '물양장 위 물탱크 내부' '지붕'
 nan]"
3,공공폐수처리시설,['내부' '외부' '지하1층 램프구간' '인접주변' nan]
4,공동주택,"['작업 착수 전 대기중에 쓰러져 병원으로 이송하여 사망' '옥상' '내부' '외부' '현장 밖 임차 현장사무실' '외벽' '현장내'
 '지붕' '108동 1단 낙하물 방지망' '공사현장 출입구' '인접주변' '기초 바닥' '공사현장 내부' '106동 주차장'
 '건물 입구' '103동 인근' '안전가설설치 및 해체' '귀' '기초' '지하2층 합벽' '주차장 슬라브'
 '109동 10층 바닥' '기초 파일공사' 'T/C 운반장소' '파일 야적장' '105동' '102동 1층 필로티'
 '지붕(박공지붕에서 옥상통로로)' '103동 지하1층' '112동 파일공사 작업장' '인천검단  RC3BL 합성버팀보 1-2구간'
 '305동 주변 지하주차장' '현장 외부 컨테이너' '아파트 측면 녹지' '송파동 42-3(CIP 작업장)' '지하층' '계단실'
 '105동 지상주차장 부근' '107동 옥상' '지하주차장 입구' '106동 옥탑' '지하주차장 저수조' '합벽' '10동 외벽'
 '현장내 2506동 주변 외부' '시스템비계 작업발판 상부' '없음' '현장사무실' '현장부지 외 택지개발지구' '동 지하3층'
 '가설방음벽' '101동 앞 주차장 구간' '103동 주변 1층 바닥' '103동 지하1층 피트층 구간' '주차장내'
 '타워크레인 내부' '현장 외 차고지 창고' '109동' '동 지하2층' '903동 동출입구 앞' '주차장입구 램프구간'
 '중로 pc박스' '주민공동시설 3층부' '주차장 바닥' '1501동 18층 4호 주방' '장시간 작업한 곳' '외곽통로'
 '흙막이 가시설 설치구간' '타워' '컨테이너화장실' '114~115동 사이 우각부' '108동 9층(재해자 주장)'
 '지상층 캐노피' '102동 주변 램프구간' '포스코현장 내 101동 주변' '현장전면 1층 출입구' '지하주차장1층'
 '공사장 내부' '지하주차장 1번 램프' '지하주차장B1F 바닥' '2층 계단옹벽 철근배근' '단지 내 외부' '105동 외부'
 '굴착법면' '기타' '지하주차장 1층' '지상층 바닥' '지하2층' '지하층 기계식주차장' '동 기초' '현장 안'
 '장지동 692-63' '402동 1층 호이스트 앞' '기계실 D/A' '주차장 보 슬래브' '3번게이트' '지하 2층'
 '102동 1,2라인 출입구' '비상램프' '101동 근생 옥상' '현장출입구(경비실옆)' '철근배근 상부' '근린생활시설 1층'
 '1층벽체 조립중' '바닥 슬래브' '문주' '항타기 옆' '지하' '상가구간 상부' '흙막이벽체 2단 띠장' '지하주차장바닥'
 '101동 1층~41층' '근로자 식당 내' '104동' '가설계단' '지하주차장' '102동 커뮤니티센터 PIT'
 '지하주차장 파일 작업구간' '103동 지상5층' '102동 지상6층' '지하주차장 기초' '2단자 201동 주변'
 '공동주택 102동' '외부 자재야적장' '3~4층 계단실' '지상1층' '107동 주차장' '201동 옥상배수로 5-6라인'
 '1202동 주변주차장 지하2층' '주차장 램프' '2구간 슬라브 상부' '반포동 725-5 앞 도로' '단지내 멘홀'
 '지상4층 1구간' '103동 주차장' '포디움 내부' 'A2BL 204동 지하1층 엘리베이터 홀' '공동주택 건설현장 내부'
 '아파트 동주변' '지하주차장 내부' '환기구 내부' '근로자 휴게실' '아파트 세대 내부' '1702동 슬라브'
 '파라펫 거푸집 설치' '108동 상부' '관리사무소' '타워크레인 운전석 이동중' '원형램프' '101동 1층 호이스트 앞'
 '지하층 벽체철근조립장' '105동 앞 외부' '104동 가설도로' '지하1층' '지하4층' '현장 근로자 화장실'
 '101동 2층' '지하1층 B구간' '주차장' '정문' '102동 지하1층 주차장' 'E/V PIT 내부' '사업부지'
 '현장 경계 울타리 밖' '현장 내' '현장 내부' '타워5호기 앞' '질병' '607동 지하주차장'
 '610~12동 사이 데크 작업구간' '110동 지하주차장 1층 동 pit내' '인근 식당' '4동 주변 주차장 슬라브' nan
 '지상1층 C구간' '은행업무 외근' '지하층 내부' '지상 1층 출입구' '8동 1층 발코니' '불분명' '세대 슬라브'
 '109동 1층' '4동 주변 주차장' '외부 담장옹벽' '101동 앞 주차장' '가시설 버팀대 작업' '코너 STRUT'
 '302동 2,3층 계단' '201동 3층 1-3호 라인 PD주변' '2307동 후면 조경식재 구간' '흙막이 가시설 설치 부분'
 '경비실' '지하층 옹벽' '사다리' '현장내부' '불명확' '102동 시스템비계']"
5,공장,"['외부' '내부' '지붕' '기초바닥타설' '지상8층 옥상' '내부 3층 엘리베이터' '인접주변' '외벽' '지하흙막이 합벽구간'
 '공사현장과 분리된 외부주차장' '공사장내 철근가공장' '작업발판' '노상' '건축물  기초 파일항타부' '분류불능' '3층'
 '지하3층' '없음' '도장공장' '시스템비계' '인접 변압기' '삼성디스플레이 아산1캠퍼스 8-1L, E4 반입구외부' nan
 '저수조 내부' '질병성 재해로 분류불능' '본인자택' '아침조회장' '천정 전등작업' '교육장']"
6,관개수로,['내부' '현장사무실 앞' '외부' '외벽' '인접주변' '용수로' '현장사무실 앞 철근가공장' '배수로' nan]
7,관광 휴게시설,['내부' '외부' '지붕' '7번지주 앞 경사로' '모노레일 운행구간' '외벽' '인접주변' nan]
8,교육연구시설,"['내부' '외부' '외부 주행로' '지붕' '인접주변' '외벽' '지상3층 바닥' '지상 5층 바닥 위' '옥상'
 '게이트1 주변 현장' '주차장' '철근야적장' '교사동 배면동 1층 시스템비계' '공사장 3층바닥' '지상4층'
 '교사동 전면동 지층' '1층' '거푸집 해체' '무용관동 1층 주변' '교육동 1층 거푸집작업' '무용관동 지상2층' '구조물'
 '교육동' '철골구조체' '옥상 파라펫' '사업부지주위 가설휀스설치' '내부 벽체' '2층 바닥 슬라브' '지하층 버팀보' nan
 '좌측면 코너스트러트' '옥상바닥' '2층 바닥슬라브']"
9,교정 및 군사시설,['외부' '내부' '지붕' '외벽' '인접주변' '포상진지' '옥상' nan '확인불가' '2층 바닥' '주 줄입구']
10,근린생활시설,"['외부' '내부' '진입로(램프)' '외벽' '인접주변' '강진군 칠량면 영동리1075-1' '지붕' '기계식주차장 비계'
 '2층 보 형틀' '현장옥상바닥' '출입구 바닥' '지하층' '지하2층 BT비계 위' '지하1층 램프입구 측' '현장내부'
 '현장 내 철근 가공장' '지하4층' '현장 진입로(일반도로)' '내부 출입구 벽체' '골조바닥' '시스템 비계설치 후 이동'
 '정문출입구 게이트내부' '102동 6번계단실' '현장내' '2층 계단실' nan '2층 휴게공간' '지하1층' '1층화장실'
 '토공사' '1층바닥' '지하2층']"
11,기타,"['내부' '외부' '농업용수로 매설부(C3)' '인접주변' '현장사무실' '부잔교호안' '4.5 박스 작업장에서'
 '환기구#3 B/P장' '옥상' '현장내' '충남 서천군 장항읍 화천리 219-1' '현장 내'
 '침사지 조성 후 보양천막 고정 작업' '가교' '장동역사 2층' '제작장' '공사구간 내 차정교'
 '가시설/육교하부 가설방음벽 제작장' '토목현장' '이동 간 도로' '성토사면' '보도육교#26 납측 교대부'
 '대전 서구 괴곡동 397-2' '활주로 재포장 공사구역 내(N4인근)' '측점 5+040(우, 지방도 887호선)'
 '공사중인 지방도 887호선' '외벽' '우수암거 슬라브' '지붕' '작업구 밖' '덤프트럭 적재함' '정문 게이트 옆' '사면'
 '블록제작장' '지하5층' '교량 슬라브 상판' '비계 이동 통로' '잔재물 이동 처리 중' '보일러동 1층'
 '정문 GATE 경비실 옆' '가설작업 중' '터빈동 2층 내부' '수리티터널' '개인질병' '현장' '배수암거'
 '활성탄흡착지 지하배관실' '역사 기존시설' '배수터널/외부' '암롤박스 내부' '외부야적장' '작업장 입구' '차량적재함'
 '관로터파기 내부' '광주광역시 광산구 월전동 121 인근' '병곡면 월암리 망월마을입구' '저수지 제당' '구내도로'
 '일과 후 현장사무실에서 휴식 중 사망' 'T-207 Bottom Slab' nan '개인 질병']"
12,노유자시설,['외부' 'PIT층 외벽' '내부' '인접주변' '내부와 비계 사이' '지붕' nan]
