,0,1
0,[PAD],0.0
1,[UNK],0.0
2,[BOS],0.0
3,[EOS],0.0
4,[SEP],0.0
5,[CLS],0.0
6,[MASK],0.0
7,▁,-3.77925
8,을,-3.98471
9,.,-4.05083
10,를,-4.13002
11,에,-4.1316
12,의,-4.26412
13,",",-4.37952
14,),-4.45259
15,▁중,-4.53967
16,이,-4.54031
17,(,-4.62406
18,가,-4.67382
19,▁한다,-4.92329
20,▁작업,-4.99505
21,일,-5.12966
22,로,-5.15768
23,는,-5.1771
24,으로,-5.18903
25,▁및,-5.23372
26,에서,-5.30236
27,시,-5.31797
28,월,-5.34724
29,년,-5.5449
30,층,-5.56448
31,▁후,-5.59582
32,▁위해,-5.63127
33,하여야,-5.69197
34,▁1,-5.71211
35,동,-5.72747
36,과,-5.74426
37,▁발생,-5.78364
38,은,-5.79818
39,▁2,-5.82313
40,▁등,-5.83147
41,▁사고,-5.84625
42,한,-5.85411
43,하여,-5.87149
44,▁설치,-5.94349
45,▁거푸집,-5.94355
46,와,-5.95636
47,분경,-6.01701
48,인,-6.09025
49,▁작업을,-6.12377
50,▁이동,-6.14001
51,▁작업중,-6.14786
52,m,-6.15945
53,된,-6.17446
54,지,-6.20083
55,▁재해자,-6.20751
56,**,-6.23238
57,▁근로자,-6.24813
58,고,-6.26652
59,서,-6.26879
60,▁현장,-6.27035
61,1,-6.27088
62,▁해체,-6.3748
63,▁작업자,-6.38012
64,▁있는,-6.40092
65,▁3,-6.40669
66,▁자재,-6.42139
67,중,-6.42331
68,▁시,-6.43376
69,▁넘어짐,-6.44718
70,▁콘크리트,-6.4479
71,▁10,-6.44963
72,▁철근,-6.45011
73,기,-6.47847
74,하는,-6.48687
75,▁지하,-6.51461
76,▁하여야,-6.55186
77,▁걸려,-6.56174
78,▁인한,-6.57124
79,2,-6.57481
80,작업,-6.5837
81,▁2020,-6.59216
82,▁왼쪽,-6.60222
83,▁수,-6.6076
84,주,-6.61784
85,▁미끄러져,-6.64095
86,▁4,-6.67072
87,용,-6.6771
88,▁오른쪽,-6.68119
89,00,-6.68831
90,▁2021,-6.68949
91,▁위하여,-6.69513
92,▁추락,-6.70065
93,▁발을,-6.70946
94,▁:,-6.71985
95,후,-6.72339
