,word
0,<PAD>
1,<BOS>
2,<UNK>
3,<UNUSED>
4,작업
5,한다
6,여야
7,설치
8,사고
9,발생
10,면서
11,작업자
12,재해자
13,현장
14,안전
15,위해
16,자재
17,철근
18,거푸집
19,바닥
20,근로자
21,이동
22,공사
23,비계
24,사용
25,추락
26,해체
27,골절
28,손가락
29,발판
30,분경
31,도록
32,상태
33,상부
34,확인
35,운반
36,콘크리트
37,재해
38,넘어지
39,지하
40,높이
41,고정
42,장비
43,경우
44,왼쪽
45,크레인
46,넘어짐
47,하부
48,사이
49,병원
50,파이프
51,다가
52,인양
53,과정
54,인한
55,구간
56,방지
57,걸려
58,절단
59,사다리
60,우측
61,부주의
62,벽체
63,오른쪽
64,조치
65,위하
66,시스템
67,조립
68,정리
69,미끄러져
70,부분
71,이용
72,내려오
73,낙하
74,부위
75,실시
76,계단
77,배관
78,중심
79,전도
80,건설
81,발목
82,내부
83,동중
84,좌측
85,위험
86,위치
87,위한
88,오전
89,부상
90,제거
91,지상
92,시공
93,시경
94,왼손
95,차량
96,주변
97,도중
98,동바리
99,장소
100,연결
101,또는
102,사항
103,시설
104,형틀
105,가설
106,외부
107,방법
108,관리
109,유로
110,점검
111,미끄러지
112,미흡
113,무릎
114,떨어짐
115,로프
116,의한
117,못하
118,타격
119,부딪힘
120,통증
121,진행
122,그라인더
123,이동식
124,부재
125,체결
126,난간
127,아래
128,슬라브
129,굴착
130,인지
131,구조물
132,어깨
133,착용
134,볼트
135,동료
136,cm
137,기계
138,소속
139,작업대
140,허리
141,지반
142,설비
143,충격
144,넘어져
145,오후
146,순간
147,기초
148,용접
149,충돌
150,인해
151,결과
152,헛디뎌
153,계획
154,대한
155,신호
156,다리
157,수직
158,고리
159,철골
160,공구
161,강관
162,완료
163,통로
164,기둥
165,합판
166,손상
167,판넬
168,하중
169,떨어지
170,구조
171,적재
172,중지
173,방향
174,떨어져
175,신축
176,거나
177,손목
178,어야
179,미끄러짐
180,확보
181,운전
182,필요
183,다고
184,였으나
185,토사
186,진단
187,장치
188,철거
189,작업장
190,굴삭기
191,보강
192,오른손
193,인하
194,수평
195,으며
196,검지
197,치료
198,주차장
199,타워
200,검토
201,데크
202,상황
203,회전
204,신호수
205,지붕
206,본인
207,목재
