,word
0,.
1,을
2,한다
3,의
4,에
5,","
6,하여야
7,를
8,작업
9,등
10,"
"
11,이
12,하여
13,및
14,설치
15,에는
16,하고
17,안전
18,가
19,시
20,는
21,은
22,한
23,으로
24,경우
25,(
26,사용
27,)
28,할
29,하는
30,과
31,로
32,확인
33,방지
34,위
35,에서
36,하며
37,근로자
38,수
39,않도록
40,와
41,이상
42,전
43,된
44,또는
45,상태
46,조치
47,때
48,후
49,계획
50,있는
51,사항
52,실시
53,크레인
54,콘크리트
55,위험
56,인양
57,발생
58,다음
59,장비
60,굴착
61,하
62,점검
63,방법
64,하기
65,자
66,․
67,장소
68,적
69,공사
70,해체
71,공
72,중
73,운반
74,조립
75,부재
76,구
77,것
78,여부
79,관리
80,물
81,하중
82,위치
83,·
84,타
85,구조
86,발판
87,대
88,하지
89,지
90,기계
91,검토
92,장치
93,따라
94,관
95,거푸집
96,대한
97,보호
98,인
99,지반
100,설계
101,현장
102,확보
103,설
104,예방
105,준수
106,의한
107,자재
108,되는
109,고려
110,가설
111,설비
112,시공
113,수립
114,용
115,재해
116,금지
117,2
118,하도록
119,그
120,배치
121,시설
122,이용
123,추락
124,보강
125,고정
126,보건
127,기준
128,되지
129,계
130,비계
131,용접
132,낙하
133,사전
134,1
135,순서
136,있도록
137,에게
138,내
139,착용
140,-
141,부착
142,유지
143,반
144,이동
145,지침
146,공법
147,철근
148,위해
149,로프
150,이동식
151,유무
152,감독
153,장
154,적재
155,물의
156,난간
157,조물
158,성
159,출입
160,각
161,수직
162,반드시
163,높이
164,지지
165,서
166,건설
167,화재
168,신호
169,주변
170,주의
171,이나
172,볼트
173,다
174,력
175,>
176,기
177,방향
178,수평
179,면
180,하부
181,추진
182,여
183,KOSHA
184,보
185,<
186,측
187,제거
188,정
189,작업장
190,제
191,상부
192,필요한
193,사
194,차량
195,기구
196,운전
197,조건
198,흙막이
199,손상
200,부
201,GUIDE
202,충분한
203,같은
204,길이
205,중량
206,상
207,m
208,나
209,와이어로프
210,거나
211,양
212,가스
213,통로
214,따른다
215,재
216,유도
217,대책
218,조사
219,포함
220,C
221,여야
222,전도
223,될
224,고
225,그림
226,따른
227,기초
228,변형
229,받침
230,재료
231,안전한
232,되도록
233,안전성
234,물질
235,발파
236,동바리
237,연결
238,매설
239,작업대
240,형
241,되어
242,강도
243,서는
244,부분
245,조
246,도
247,시켜야
248,작성
249,원
250,즉시
251,망
252,바닥
253,우려
254,별
255,취급
256,곳
257,제작
258,된다
259,내부
260,침하
261,선정
262,지하
263,벽
264,앵커
265,판
266,기둥
267,동
268,같다
269,인한
270,전기
271,단
272,운전자
273,내용
274,충분히
275,공간
276,전선
277,측정
278,대하
279,유해
280,절단
281,있으므로
282,신
283,말뚝
284,비상
285,사고
286,없도록
287,관련
288,교육
289,해당
290,선
291,같이
292,작동
293,되어야
294,체결
295,붕괴
296,기타
297,방호
298,호수
299,토사
300,3
301,소
302,항
303,간격
304,상황
305,주
306,지붕
307,변경
308,강관
309,거더
310,지정
311,폼
312,해야
313,식
314,벽체
315,단부
316,이내
317,반입
318,수행
319,블록
320,구를
321,띠
322,완료
323,함
324,거리
325,이하
326,폭
327,펌프
328,가능한
329,요인
330,산업
331,결정
332,시작
333,방
334,동시
335,이음
336,:
337,종류
338,처리
339,관계
340,까지
341,최소
342,줄
343,미터
344,트
345,안정
346,단계
347,긴장
348,중지
349,초과
350,진행
351,화기
352,이를
353,붐
354,걸이
355,아니
356,10
357,들
358,비산
359,부위
360,시스템
361,플레이
362,연
363,환기
364,비
365,없는
366,주지
367,시행
368,표시
369,결과
370,통
371,영향
372,어
373,감전
374,표
375,자의
376,운행
377,책임자
378,적절한
379,평가
380,개인
381,지점
382,사이
383,또한
384,암
385,외부
386,반영
387,슬래브
388,통제
389,접지
390,적합한
391,공구
392,아래
393,개
394,철저히
395,물이
396,보관
397,야
398,도로
399,시험
400,다짐
401,cm
402,규격
403,경
404,위험성
405,경로
406,적용
407,층
408,지상
409,계단
410,성능
411,정도
412,구간
413,천공
414,배수
415,안전하게
416,반경
417,대비
418,하게
419,떨어짐
420,인화
421,데크
422,모든
423,적정
424,구역
425,회전
426,견고하게
427,역
428,"),"
429,법
430,변위
431,주입
432,접근
433,공정
434,지보
435,에서의
436,파손
437,범위
438,사다리
439,대피
440,있을
441,작용
442,케이블
443,밀폐
444,주탑
445,외
446,개구
447,기술
448,방망
449,되
450,4
451,비치
452,최대
453,이외
454,투입
455,진동
456,정지
457,견고한
458,일반
459,검사
460,의하여
461,대상
462,간
463,특성
464,수시로
465,일
466,허용
467,5
468,파이프
469,대해
470,승강
471,트리
472,항상
473,화약류
474,표준
475,철물
476,마다
477,상승
478,권
479,결속
480,기관
481,바지선
482,철탑
483,으로부터
484,속도
485,의해
486,정기
487,ㆍ
488,터널
489,해서는
490,아웃
491,덮개
492,반의
493,기록
494,도서
495,리프트
496,규정
497,보수
498,농도
499,장애물
500,건물
501,밖
502,있다
503,거
504,조명
505,트럭
506,안전모
507,교체
508,충격
509,주위
510,철골
511,에서는
512,차
513,강
514,접촉
515,산소
516,균열
517,화
518,고소
519,공기
520,기울기
521,강재
522,인장
523,특히
524,작
525,인접
526,이어야
527,소화기
528,시간
529,않는
530,발
531,충전
532,깊이
533,사면
534,해상
535,과의
536,발견
537,접합
538,부의
539,파악
540,변화
541,화물
542,승인
543,설정
544,표지판
545,조정
546,정리
547,절차
548,인근
549,브레이크
550,안
551,파기
552,타일
553,능력
554,주요
555,차단
556,호스
557,목
558,잘
559,여건
560,별도
561,규칙
562,취하
563,협의
564,통행
565,가공
566,이탈
567,타워
568,원칙
569,버팀
570,재의
571,연락
572,판단
573,전원
574,두어야
575,삽입
576,mm
577,다른
578,부식
579,있어야
580,교량
581,천
582,토록
583,필요시
584,않아야
585,미리
586,단면
587,응력
588,압력
589,폭발
590,풍속
591,레일
592,절
593,트러스
594,본
595,카
596,사람
597,지휘
598,준비
599,“
600,에도
601,형식
602,잭
603,토
604,내력
605,약
606,고압
607,필요
608,청소
609,형상
610,업주
611,벤트
612,용량
613,전체
614,상단
615,보조
616,불티
617,지시
618,노출
619,분리
620,전문가
621,유의
622,못
623,철판
624,이상인
625,인하여
626,탈락
627,넘어짐
628,대차
629,방식
630,슬립
631,반출
632,그라우팅
633,관계자
634,시키고
635,대의
636,갱폼
637,도면
638,기간
639,강풍
640,절연
641,강선
642,용단
643,가연성
644,주행
645,피난
646,옹벽
647,거치
648,훅
649,배관
650,구성
651,크기
652,불꽃
653,인증
654,세그먼트
655,다만
656,석
