,0,1
0,<unk>,0.0
1,<s>,0.0
2,</s>,0.0
3,▁,-3.88065
4,을,-4.08809
5,에,-4.1828
6,▁중,-4.21979
7,),-4.2457
8,를,-4.26213
9,(,-4.44831
10,이,-4.49435
11,가,-4.55028
12,.,-4.5869
13,",",-4.84499
14,일,-4.85554
15,의,-4.9175
16,▁작업,-4.95772
17,으로,-4.96002
18,월,-5.00751
19,로,-5.03006
20,에서,-5.04733
21,시,-5.12662
22,년,-5.20038
23,층,-5.25575
24,▁위해,-5.36601
25,▁1,-5.47086
26,▁후,-5.47112
27,동,-5.4773
28,▁사고,-5.53707
29,▁발생,-5.56023
30,▁2,-5.60424
31,▁및,-5.65791
32,분경,-5.67462
33,는,-5.68493
34,▁거푸집,-5.68764
35,▁작업중,-5.81515
36,▁재해자,-5.86836
37,하여,-5.90578
38,**,-5.92248
39,▁이동,-5.92912
40,m,-5.97333
41,1,-5.99903
42,한,-6.00684
43,▁작업을,-6.01127
44,▁설치,-6.04465
45,과,-6.05152
46,▁현장,-6.0693
47,서,-6.07246
48,인,-6.07263
49,▁작업자,-6.08581
50,와,-6.13519
51,▁넘어짐,-6.14302
52,▁3,-6.1681
53,▁해체,-6.17528
54,▁10,-6.18786
55,▁지하,-6.2194
56,▁철근,-6.23011
57,고,-6.23463
58,▁걸려,-6.24451
59,▁2020,-6.24904
60,▁왼쪽,-6.2529
61,중,-6.2644
62,▁자재,-6.26611
63,▁근로자,-6.26772
64,▁미끄러져,-6.29514
65,된,-6.29892
66,2,-6.32858
67,▁오른쪽,-6.34523
68,▁인한,-6.34671
69,▁2021,-6.34725
70,▁발을,-6.3669
71,00,-6.40219
72,▁손가락,-6.40441
73,씨가,-6.40441
74,▁있던,-6.40612
75,▁4,-6.40686
76,▁사고임,-6.42341
77,▁재해자가,-6.42766
78,▁골절,-6.43389
79,▁바닥에,-6.44004
80,▁:,-6.44697
81,▁넘어지면서,-6.45842
82,면서,-6.46059
83,▁추락,-6.50003
84,▁우측,-6.5115
85,▁이동중,-6.5177
86,시경,-6.52001
87,주,-6.53627
88,▁과정에서,-6.53851
89,▁오전,-6.54383
90,지,-6.54893
91,▁작업자가,-6.55205
92,후,-6.56592
93,▁11,-6.56813
94,-,-6.56834
95,▁잃고,-6.5831
96,은,-6.58853
97,▁하부,-6.60349
98,▁비계,-6.63098
99,▁콘크리트,-6.65315
100,▁상부,-6.65471
101,▁(,-6.66365
102,▁있는,-6.68736
103,▁좌측,-6.69097
104,기,-6.69237
105,▁중심을,-6.69956
106,▁작업자의,-6.74316
107,▁벽체,-6.7549
108,▁30,-6.7688
109,▁바닥,-6.77362
110,▁발이,-6.78895
111,용,-6.7974
112,▁12,-6.7997
113,분,-6.81268
114,▁부주의,-6.84189
115,층에서,-6.855
116,▁2019,-6.85695
117,하는,-6.85795
118,▁5,-6.85892
119,▁위하여,-6.86156
120,▁하던,-6.86412
121,작업,-6.87233
122,3,-6.87713
123,▁부딪힘,-6.87737
124,▁왼손,-6.88491
125,▁절단,-6.89308
126,▁지상,-6.8998
127,/,-6.90198
128,▁내,-6.9057
129,▁재해,-6.91017
130,▁약,-6.92102
131,▁떨어짐,-6.93034
132,▁김,-6.93856
133,▁손가락이,-6.94847
134,▁8,-6.9499
135,▁부주의로,-6.95085
136,▁이,-6.95218
137,단,-6.96452
138,▁자재를,-6.96752
139,M,-6.96788
140,▁유로폼,-6.97824
141,되어,-6.97837
142,▁위한,-6.98169
143,▁미흡,-6.98631
144,▁발생한,-6.98713
145,▁운반,-6.9975
146,▁헛디뎌,-7.00191
147,▁15,-7.01538
148,▁넘어져,-7.01718
149,▁보,-7.02256
150,▁재해자의,-7.02824
151,▁사이에,-7.03834
152,▁확인,-7.04262
153,▁배관,-7.05553
154,4,-7.05857
155,도,-7.06388
156,▁고정,-7.0671
157,▁소속,-7.06951
158,▁현장에서,-7.07093
159,▁오후,-7.07366
160,▁경,-7.0738
161,cm,-7.08282
162,▁장비,-7.08762
163,▁발판,-7.10223
164,▁H,-7.11117
165,▁7,-7.11163
166,▁협착,-7.1213
167,▁인해,-7.12167
168,▁6,-7.12195
169,▁이용하여,-7.12345
170,:,-7.12767
171,▁부상,-7.13124
172,▁미끄러지면서,-7.13743
173,▁끼임,-7.14179
174,▁9,-7.14309
175,경,-7.14865
176,▁20,-7.15003
177,▁계단,-7.15181
178,▁떨어져,-7.15689
179,자,-7.15704
180,▁슬라브,-7.16382
181,▁도중,-7.16677
182,▁오른손,-7.17247
183,▁외부,-7.18524
184,▁인양,-7.19873
185,며,-7.20512
186,▁입음,-7.20896
187,부,-7.21669
188,▁높이,-7.21844
189,▁바닥으로,-7.21926
190,▁못하고,-7.22511
191,작업을,-7.2298
192,리,-7.23126
193,▁무릎,-7.23386
194,▁재해임,-7.25664
195,▁상태에서,-7.2598
196,하게,-7.26625
197,30,-7.26918
198,함,-7.27088
199,▁근로자가,-7.27834
200,▁등,-7.27999
201,▁사다리,-7.28323
202,▁크레인,-7.28867
203,▁그라인더,-7.29261
204,수,-7.29497
205,작업중,-7.29521
206,하고,-7.29663
207,▁14,-7.30501
208,▁사고가,-7.3065
209,▁내부,-7.31009
210,▁함께,-7.31064
211,▁정리,-7.31225
212,▁밟고,-7.31532
213,▁시,-7.32599
214,▁타설,-7.33104
215,▁미끄러짐,-7.34546
216,공,-7.34971
217,▁시스템,-7.35311
218,번,-7.35384
219,면,-7.3554
220,▁08,-7.35675
221,▁순간,-7.35723
222,▁사용,-7.36003
223,▁제거,-7.36345
224,▁전도,-7.36582
225,▁부딪혀,-7.36596
226,▁16,-7.37411
227,건설,-7.37456
228,▁13,-7.3755
229,▁말비계,-7.38317
230,▁주변,-7.38534
231,▁조립,-7.39102
232,구간,-7.39388
233,▁불안전한,-7.39506
234,▁작업발판,-7.39525
235,대,-7.40119
236,던,-7.40397
237,▁09,-7.40589
238,▁합판,-7.41132
239,5,-7.41185
240,구,-7.41472
241,▁상부에서,-7.41618
242,▁설치된,-7.42276
243,▁전,-7.42528
244,장,-7.43077
245,▁발생함,-7.43146
246,▁어깨,-7.43282
247,이던,-7.43815
248,진,-7.43884
249,▁않고,-7.43956
250,▁들고,-7.45974
251,10,-7.46107
252,▁굴삭기,-7.4639
253,상,-7.47423
254,▁인하여,-7.4847
255,▁발목,-7.49895
256,▁높이에서,-7.50118
257,하지,-7.50278
258,차,-7.50399
259,▁의한,-7.50552
260,▁잡고,-7.50563
261,▁허리,-7.51015
262,▁가시설,-7.51662
263,▁시스템비계,-7.54328
264,▁내려오던,-7.54565
265,▁사고발생,-7.5474
266,▁철근에,-7.55384
267,▁위에서,-7.55656
268,▁병원,-7.55958
269,▁동료,-7.56141
270,▁진단,-7.56297
271,세,-7.56683
272,▁타격,-7.56855
273,▁신축공사,-7.57098
274,높이,-7.57448
275,▁철근을,-7.58206
276,하기,-7.58349
277,▁제,-7.59351
278,해,-7.59627
279,형,-7.59635
280,공사,-7.6027
281,하던,-7.60385
282,▁***,-7.6066
283,호,-7.60775
284,하면서,-7.60815
285,▁차량,-7.61519
286,▁현장내,-7.61589
287,▁동바리,-7.62063
288,▁철골,-7.62731
289,전,-7.62739
290,▁엄지손가락,-7.63892
291,▁119,-7.64018
292,7,-7.64248
293,▁넘어지며,-7.645
294,▁한,-7.64871
295,화,-7.65192
296,어,-7.65637
