공종대분류,공종소분류,사망자수,부상자수,피해인원수
건축,가설공사,29,816,845
건축,건축 토공사,20,286,306
건축,건축물 부대공사,14,251,265
건축,금속공사,5,95,100
건축,도장공사,22,145,167
건축,목공사,2,128,130
건축,미장공사,15,242,257
건축,방수공사,7,88,95
건축,수장공사,45,305,350
건축,조경공사,1,43,44
건축,조적공사,4,145,149
건축,지반조사,1,11,12
건축,지붕 및 홈통공사,19,65,84
건축,지정공사,3,35,38
건축,창호 및 유리공사,17,113,130
건축,철골공사,38,314,352
건축,철근콘크리트공사,93,2740,2833
건축,타일 및 돌공사,8,235,243
건축,특수 건축물공사,0,5,5
건축,해체 및 철거공사,54,413,467
기계설비,가설공사,1,16,17
기계설비,기계설비공사,22,383,405
기계설비,해체 및 철거공사,3,8,11
기타,기타,92,1471,1563
산업설비,가설공사,0,12,12
산업설비,산업설비공사,2,190,192
산업설비,해체 및 철거공사,1,7,8
전기설비,가설공사,0,6,6
전기설비,전기설비공사,15,289,304
전기설비,해체 및 철거공사,0,1,1
토목,가설공사,15,444,459
토목,강구조물공사,2,21,23
토목,관공사,29,284,313
토목,관공사 부대공사,7,87,94
토목,교량공사,13,185,198
토목,댐 및 제방공사,1,9,10
토목,도로 및 포장공사,17,195,212
토목,말뚝공사,1,46,47
토목,지반개량공사,3,21,24
토목,지반조사,0,11,11
토목,철근콘크리트공사,9,378,387
토목,철도 및 궤도공사,3,39,42
토목,터널공사,12,139,151
토목,토공사,36,386,422
토목,프리캐스트 콘크리트공사,1,5,6
토목,하천공사,10,103,113
토목,항만공사,4,80,84
토목,해체 및 철거공사,8,139,147
통신설비,통신설비공사,0,6,6
