,word
0,작업
1,추락
2,사망
3,설치
4,해체
5,붕괴
6,전도
7,낙하
8,상부
9,비계
10,철골
11,지붕
12,부상
13,크레인
14,인양
15,거푸집
16,작업대
17,고소
18,발판
19,이동
20,탈락
21,콘크리트
22,벽체
23,충돌
24,슬래브
25,철근
26,떨어짐
27,이동식
28,굴착
29,자재
30,조립
31,교량
32,외부
33,굴삭기
34,외벽
35,내부
36,탑승
37,단부
38,도장
39,판넬
40,공사
41,감전
42,달비계
43,배관
44,파단
45,보수
46,동바리
47,터널
48,개구부
49,구조물
50,사면
51,파손
52,공장
53,안전
54,철거
55,사다리
56,운반
57,로프
58,아파트
59,흙막이
60,후진
61,토사
62,타워
63,사이
64,시스템
65,수직
66,전선
67,경사
68,하부
69,연결
70,호우
71,옹벽
72,사례
73,보
74,용접
75,볼트
76,기둥
77,폭발
78,사고
79,화재
80,와이어로프
81,도괴
82,매설
83,카고
84,법면
85,발생
86,접촉
87,라이트
88,하역
89,관로
90,시설
91,부재
92,설비
93,대책
94,무너짐
95,덤프트럭
96,이탈
97,버켓
98,계단
99,골보
100,벨트
101,지게차
102,다발
103,부설
104,도로
105,매몰
106,통로
107,파이프
108,근로자
109,바닥
110,대형
111,지지
112,하수관
113,코킹
114,슬레이트
115,유리
116,지반
117,전로
118,교체
119,건설
120,현장
121,가스
122,난간
123,청소
124,천정
125,교각
126,코핑
127,익사
128,지하
129,재해
130,보강
131,일부
132,제거
133,정리
134,창호
135,틀비계
136,절단
137,담장
138,노후
139,우수관
140,패널
141,지붕재
142,파일
143,연장
144,띠장
145,순간
146,용단
147,맞음
148,리프트
149,사용
150,동중
151,케이블
152,포설
153,구간
154,점검
155,상승
156,지하층
157,창고
158,준비
159,중대
160,천막
161,가설
162,장면
163,전석
164,천장
165,항타기
166,건물
167,확인
168,마감
169,유로
170,지보공
171,섬유
172,엘리베이터
173,형강
174,전복
175,승강
176,버팀
177,적재
178,충전
179,균형추
180,도시
181,산소
182,절토
183,비래
184,머리
185,실족
186,Deck
187,주변
188,예방
189,LPG
190,열차
191,해머
192,착면
193,고리
194,거치대
195,철탑
196,부분
197,장약
198,암반
199,라이닝
200,강타
201,보일러
202,견출
203,ACS
204,인상
205,선회
206,천공
207,버킷
208,낙석
209,경사면
210,빌딩
211,주택
212,쌍줄
213,정지
214,하강
215,상차
216,오수관
217,석축
218,피트
219,펌프
220,케이지
221,곤돌라
222,주차장
223,케이싱
224,로울러
225,판
226,계단참
227,목재
228,계단실
229,철재
230,포장
231,우레탄
232,차량
233,상수도관
234,마감재
235,승강기
236,PHC
237,크롤러
238,나무
239,공급
240,골조
241,서포트
242,불티
243,양중
244,정화조
245,시공
246,궤도
247,깔판
248,가공
249,재해자
250,흄관
251,Plate
252,신축
253,고압선
254,운전
255,철도
256,가물막이
257,발전소
258,테스트
259,거치
260,작업자
261,백호
262,지상
263,전기
264,보조
265,수작업
266,말뚝
267,호스
268,분리
269,강관
270,블럭
271,오수
272,탱크
273,가도
274,저면
275,물
276,캔틸레버
277,전주
278,시추기
279,그라인더
280,토류
281,지지대
282,내화
283,피복
284,소나무
285,상태
286,기초
287,절단기
288,타이어
289,덮개
290,석재
291,반출
292,투하
293,벽면
294,결속
295,복공
296,조형물
297,미장
298,윈치
299,턴테이블
300,대가
301,해상
302,틀
303,화물
304,자동차
305,적재함
306,수리
307,손수레
308,샌드위치
309,잔재
310,강재
311,발코니
312,선별
313,앵커
314,옥상
315,고정
316,용접부
317,천공기
318,유도
319,변압기
320,보호
321,보양
322,바퀴
323,탑승구
324,마대
325,외줄
326,슬링
327,발
328,방음벽
