,doc_code,t1,t2,t3,t4,c1,c2,c3,c4,title_category,content_category,group,title,content,image,picture,table,appendix,math_exp,attachment,reference,enclosure_image,enclosure,asterisk,appendix_table
0,C-02-2020,4.0,,,,,,,,정보,,,바지(Barge)선 이용 작업,,,,,,,,,,,,
1,C-02-2020,4.0,4.1,,,,,,,정보,,,바지선의 종류,,,,,,,,,,,,
2,C-02-2020,4.0,4.1,,,(1),,,,,정보,m,,기능별 종류,<그림 1_2>,,,,,,,,,,
3,C-02-2020,4.0,4.1,,,(1),(가),,,,정보,s,,비자항식 바지선 : 예인선에 의하여 운행되는 바지선,,,,,,,,,,,
4,C-02-2020,4.0,4.1,,,(1),(나),,,,정보,s,,자항식 바지선 : 비자항식 바지선 이외의 바지선으로 자체 항해가 가능한 바지선,,,,,,,,,,,
5,C-02-2020,4.0,4.1,,,(1),(다),,,,정보,s,,SEP(Self Elevating Platform) 바지선 : 바지선에 고정용 장치(Leg)를 부착하여 수중의 견고한 지반에 고정할 수 있는 바지선,,,,,,,,,,,
6,C-02-2020,4.0,4.1,,,(2),,,,,정보,m,,용도별 종류,<그림 3>,,,,,,,,,,
7,C-02-2020,4.0,4.1,,,(2),(가),,,,정보,s,,"일반 바지선 : 건설공사용 바지선, 모래 운반용 바지선, 철강재 운반용 바지선 등",,,,,,,,,,,
8,C-02-2020,4.0,4.1,,,(2),(나),,,,정보,s,,"유조 바지선 : 석유제품 운반용 부선, 원유 운반용 부선, 액체 화학품 운반용 바지선, 액화가스용 부선 등",,,,,,,,,,,
9,C-02-2020,4.0,4.1,,,(2),(다),,,,정보,s,,"폐기물 운반 바지선 : 폐기물 운반용 바지선, 분뇨 운반용 바지선 등",,,,,,,,,,,
10,C-02-2020,4.0,4.1,,,(2),(라),,,,정보,s,,토운 바지선 : 준설토 운반용 바지선 등,,,,,,,,,,,
11,C-02-2020,4.0,4.1,,,(2),(마),,,,정보,s,,해저 조망 바지선 : 해저 잠수 조망용 바지선 등,,,,,,,,,,,
12,C-02-2020,4.0,4.1,,,(3),,,,,정보,m,,승선 요원 유무에 따른 분류,,,,,,,,,,,
13,C-02-2020,4.0,4.1,,,(3),(가),,,,정보,s,,유인 바지선 : 선루 또는 갑판실에 거주할 수 있는 거주 설비를 갖춘 바지선,,,,,,,,,,,
14,C-02-2020,4.0,4.1,,,(3),(나),,,,정보,s,,무인 바지선 : 거주 설비가 없는 바지선,,,,,,,,,,,
15,C-02-2020,4.0,4.2,,,,,,,규정,,m,바지선 작업 전 점검사항,바지선 작업 전 다음 사항에 대하여 점검 또는 확인을 하여야 한다.,"<그림 4>, <그림 5_6>",,,,,,,,,,
16,C-02-2020,4.0,4.2,,,(1),,,,,규정,s,,"바지선의 선체 외관, 갑판, 수밀격벽 등의 주요 부재와 만재 흘수선하부 등 균열, 파손 여부",,,,,,,,,,,
17,C-02-2020,4.0,4.2,,,(2),,,,,규정,s,,적정한 방현재(Fender) 등의 정위치 부착 여부,,,,,,,,,,,
18,C-02-2020,4.0,4.2,,,(3),,,,,규정,s,,계류 관련 장치의 성능,,,,,,,,,,,
19,C-02-2020,4.0,4.2,,,(4),,,,,규정,s,,"해치커버, 맨홀 커버 등 수밀 상태",,,,,,,,,,,
20,C-02-2020,4.0,4.2,,,(5),,,,,규정,s,,만재 흘수선 및 적재량의 표시,,,,,,,,,,,
21,C-02-2020,4.0,4.2,,,(6),,,,,규정,s,,선체 내부에 생긴 오수 등의 배출 여부,,,,,,,,,,,
22,C-02-2020,4.0,4.2,,,(7),,,,,규정,s,,"모든 개구부, 선외 배출부, 해수흡입밸브 및 이들의 폐쇄장치의 작동 상태",,,,,,,,,,,
23,C-02-2020,4.0,4.2,,,(8),,,,,규정,s,,계류용 섬유 로프 또는 와이어로프의 준비 상태,,,,,,,,,,,
24,C-02-2020,4.0,4.2,,,(9),,,,,규정,s,,유인 바지선인 경우에는 탑승자를 위한 구명장비의 준비 상태,,,,,,,,,,,
25,C-02-2020,4.0,4.3,,,,,,,규정,,,바지선 묘박(Anchoring) 작업,,,,,,,,,,,,
26,C-02-2020,4.0,4.3,,,(1),,,,,규정,m,,"묘박을 하기 위한 앵커, 와이어로프, 체인 또는 섬유 로프의 손상 및 결함 여부를 정기적으로 점검하여야 하며, 결함이 있는 것은 교체 또는 수리하여 사용하여야 한다.",,,,,,,,,,,
27,C-02-2020,4.0,4.3,,,(2),,,,,규정,m,,앵커 및 와이어로프는 스토퍼 또는 이와 동등한 장치로 고정하여야 한다.,,,,,,,,,,,
28,C-02-2020,4.0,4.3,,,(3),,,,,규정,m,,앵커를 올리거나 내리는 작업은 작업 책임자 감독 하에 이루어져야 한다.,<그림 7_8>,,,,,,,,,,
29,C-02-2020,4.0,4.3,,,(4),,,,,규정,m,,앵커를 올리거나 내리기 전에는 작업장 주변에 불필요한 사람은 없으며 부선 주변에 장애물이 없는가를 확인하여야 한다.,,,,,,,,,,,
30,C-02-2020,4.0,4.3,,,(5),,,,,규정,m,,"윈치, 윈드라스(Windlass) 작동상태, 스토퍼 기능 상태를 수시로 점검하여야 한다.",<그림 9_10>,,,,,,,,,,
31,C-02-2020,4.0,4.3,,,(6),,,,,규정,m,,체인의 상태를 수시로 확인하고 연결 링크는 주기적으로 교체하여야 한다.,,,,,,,,,,,
32,C-02-2020,4.0,4.4,,,,,,,규정,,,기상 대비 안전점검 및 확인,,,,,,,,,,,,
33,C-02-2020,4.0,4.4,,,(1),,,,규정,,m,,"해상 작업선, 바지선은 운항 및 공사 중 기상악화로 인해 넘어지거나 운항하는 타선박 및 부속선과의 부딪힘을 방지하기 위하여 다음 사항을 점검 또는 확인을 하여야 한다.",,,,,,,,,,,
34,C-02-2020,4.0,4.4,,,(1),(가),,,,규정,s,,이동 항로의 안전성 확인,,,,,,,,,,,
35,C-02-2020,4.0,4.4,,,(1),(나),,,,규정,s,,적재된 장비의 고정 결속 상태,,,,,,,,,,,
36,C-02-2020,4.0,4.4,,,(1),(다),,,,규정,s,,예인선 등과의 결속은 긴결되었는지 여부,,,,,,,,,,,
37,C-02-2020,4.0,4.4,,,(1),(라),,,,규정,s,,"조난신호, 자동발신기, 불꽃 등 비상연락 설비의 구비 여부",,,,,,,,,,,
38,C-02-2020,4.0,4.4,,,(1),(마),,,,규정,s,,법정 표지 및 등화 계획,,,,,,,,,,,
39,C-02-2020,4.0,4.4,,,(1),(바),,,,규정,s,,앵커 등 수중 지지물 표시 준비 상태,,,,,,,,,,,
40,C-02-2020,4.0,4.4,,,(1),(사),,,,규정,s,,선박의 적재 및 인양능력 검토,,,,,,,,,,,
41,C-02-2020,5.0,,,,,,,,규정,,,바지(Barge)선 작업 안전조치 사항,,,,,,,,,,,,
42,C-02-2020,5.0,5.1,,,,,,,규정,,,일반 사항,,,,,,,,,,,,
43,C-02-2020,5.0,5.1,,,(1),,,,,규정,m,,"호우, 홍수, 태풍 등에 대한 기상예보 등에 주의하여 피해가 없도록 하여야 하며, 풍속이 15m/sec 이상, 강우량 10㎜ 이상, 시계 1㎞ 이하의 안개일 때는 바지선을 이용한 작업 등을 중지하여야 한다.",,,,,,,,,,,
44,C-02-2020,5.0,5.1,,,(2),,,,,규정,m,,"조류가 2～4노트(knot ; 1knot=1.852km/h) 이상일 경우에는 작업을 중지하고, 2 노트 이하에서도 바지선의 계류 방향을 저항이 적은 쪽으로 배치하여야 한다.",,,,,,,,,,,
45,C-02-2020,5.0,5.1,,,(3),,,,,규정,m,,바지선의 작업한 계파고는 바지선의 크기에 따라 1.5～3.0m이므로 바지선의 종류에 따라 사전에 작업한 계파고를 확인하여야 한다.,,,,,,,,,,,
