,0,1
0,<unk>,0.0
1,<s>,0.0
2,</s>,0.0
3,▁,-3.88981
4,을,-3.97083
5,.,-4.0359
6,를,-4.1077
7,에,-4.14693
8,의,-4.25144
9,",",-4.3564
10,),-4.42852
11,▁중,-4.5166
12,이,-4.57595
13,(,-4.61706
14,가,-4.65481
15,▁한다,-4.89883
16,▁작업,-5.00578
17,일,-5.13336
18,는,-5.16495
19,으로,-5.17669
20,로,-5.18525
21,▁및,-5.20942
22,월,-5.32603
23,에서,-5.32934
24,시,-5.34105
25,년,-5.52173
26,층,-5.54905
27,▁후,-5.57449
28,▁위해,-5.6071
29,하여야,-5.67932
30,▁1,-5.68765
31,동,-5.75941
32,과,-5.76359
33,▁발생,-5.78248
34,은,-5.78362
35,▁2,-5.8089
36,▁등,-5.81404
37,▁사고,-5.83633
38,한,-5.89355
39,▁거푸집,-5.91819
40,▁설치,-5.94937
41,와,-5.96633
42,하여,-5.97272
43,분경,-5.99769
44,인,-6.09528
45,▁작업을,-6.09724
46,▁작업중,-6.12202
47,m,-6.14191
48,▁이동,-6.14274
49,된,-6.17725
50,▁재해자,-6.18219
51,▁근로자,-6.22319
52,**,-6.22957
53,1,-6.25588
54,▁현장,-6.2746
55,고,-6.29285
56,서,-6.31494
57,▁작업자,-6.35456
58,▁해체,-6.36113
59,지,-6.36114
60,▁있는,-6.3761
61,▁3,-6.38896
62,▁자재,-6.40285
63,▁넘어짐,-6.42287
64,▁콘크리트,-6.42519
65,▁10,-6.43664
66,▁철근,-6.44249
67,▁시,-6.44475
68,하는,-6.48911
69,중,-6.49421
70,▁지하,-6.49946
71,▁하여야,-6.52276
72,▁인한,-6.5469
73,▁걸려,-6.55074
74,▁2020,-6.56511
75,2,-6.5749
76,▁왼쪽,-6.57795
77,기,-6.60903
78,▁미끄러져,-6.61666
79,▁수,-6.63666
80,▁4,-6.65347
81,▁2021,-6.66281
82,▁오른쪽,-6.66659
83,▁위하여,-6.67076
84,▁발을,-6.68519
85,00,-6.6886
86,▁:,-6.69443
87,▁추락,-6.69741
88,주,-6.7037
89,▁손가락,-6.71251
90,▁있던,-6.71687
91,씨가,-6.72473
92,후,-6.73715
93,▁골절,-6.73906
94,▁바닥에,-6.74142
95,용,-6.74544
96,▁사고임,-6.74643
97,▁재해자가,-6.74906
98,-,-6.74951
99,면서,-6.77048
100,작업,-6.7763
101,▁넘어지면서,-6.7815
102,▁비계,-6.79289
103,하게,-6.79444
104,▁상부,-6.81009
105,▁우측,-6.82807
106,▁작업자가,-6.83495
107,▁이동중,-6.8377
108,시경,-6.84291
109,하고,-6.84349
110,▁11,-6.84557
111,할,-6.84681
112,▁과정에서,-6.85173
113,▁장비,-6.86666
114,▁오전,-6.86695
115,▁위한,-6.86975
116,▁(,-6.87594
117,▁않도록,-6.88457
118,▁잃고,-6.90618
119,▁사용,-6.93018
120,▁하며,-6.93211
121,▁이,-6.93955
122,▁고정,-6.96436
123,▁벽체,-6.97014
124,▁등을,-6.97538
125,▁내,-6.97608
126,도,-6.98279
127,▁운반,-6.98848
128,▁바닥,-6.98964
129,▁좌측,-6.99022
130,▁확인,-6.99577
131,▁30,-6.99898
132,▁크레인,-6.99956
133,▁재해,-7.014
134,▁또는,-7.01716
135,▁중심을,-7.02128
136,되어,-7.02554
137,▁5,-7.0348
138,▁작업자의,-7.03668
139,분,-7.04487
140,▁절단,-7.05219
141,수,-7.05506
142,▁하부,-7.06553
143,3,-7.066
144,▁타설,-7.06659
145,▁안전,-7.08138
146,▁떨어짐,-7.09822
147,▁경우,-7.10171
148,▁발이,-7.10275
149,▁12,-7.10482
150,▁경우에는,-7.10553
151,자,-7.12687
152,▁의한,-7.12773
153,/,-7.13445
154,▁보,-7.14411
155,▁부딪힘,-7.1475
156,층에서,-7.15409
157,▁인양,-7.15814
158,▁부주의,-7.16046
159,▁2019,-7.17041
160,▁약,-7.1708
161,cm,-7.17312
162,▁지상,-7.17357
163,▁왼손,-7.17477
164,▁이용하여,-7.17586
165,단,-7.18088
166,▁전,-7.18816
167,▁높이,-7.19442
168,▁다음,-7.19454
169,▁하던,-7.19763
170,리,-7.20032
171,도록,-7.20366
172,▁조립,-7.20581
173,▁8,-7.21238
174,히,-7.21264
175,▁자재를,-7.21939
176,M,-7.22791
177,▁이상,-7.23551
178,면,-7.23772
179,하지,-7.23791
180,상,-7.238
181,부,-7.23974
182,4,-7.24354
183,▁김,-7.24473
184,▁설치하여야,-7.25731
185,▁발생한,-7.26453
186,▁손가락이,-7.26732
187,▁부주의로,-7.2729
188,▁배관,-7.28186
189,장,-7.2901
190,▁15,-7.29343
191,▁미흡,-7.29677
192,▁발판,-7.29709
193,▁유로폼,-7.29919
194,▁사이에,-7.30568
195,▁현장에서,-7.3093
196,▁근로자가,-7.31581
197,▁H,-7.32377
198,▁헛디뎌,-7.32499
199,▁넘어져,-7.33754
200,▁20,-7.33754
201,함,-7.34115
202,:,-7.34152
203,▁시공,-7.34846
204,▁7,-7.3509
205,▁작업발판,-7.35453
206,▁따라,-7.35825
207,▁전도,-7.36161
208,한다,-7.36759
209,▁그,-7.3705
210,▁오후,-7.3731
211,▁재해자의,-7.37422
212,▁제거,-7.37503
213,공,-7.37947
214,▁경,-7.38131
215,대,-7.38156
216,▁상태,-7.38331
217,▁소속,-7.38923
218,▁공사,-7.39144
219,▁주변,-7.39266
220,▁대한,-7.39665
221,▁부상,-7.39878
222,에는,-7.40079
223,작업을,-7.40207
224,▁협착,-7.40401
225,경,-7.40539
226,▁끼임,-7.4072
227,▁하고,-7.40777
228,▁인해,-7.40929
229,하,-7.40978
230,며,-7.41067
231,▁상태에서,-7.4107
232,▁6,-7.41225
233,▁외부,-7.4306
234,하기,-7.43804
235,▁9,-7.44168
236,▁슬라브,-7.44717
237,▁오른손,-7.4476
238,선,-7.44905
239,▁떨어져,-7.45838
240,▁미끄러지면서,-7.46051
241,▁도중,-7.46216
242,▁내부,-7.47217
243,전,-7.47919
244,되는,-7.48228
245,관,-7.49011
246,공사,-7.49059
247,▁조치,-7.49109
248,▁제,-7.49265
249,진,-7.49633
250,▁이동식,-7.50227
251,▁사다리,-7.51113
252,해,-7.52659
253,구,-7.5287
254,·,-7.52953
255,작업중,-7.52983
256,▁입음,-7.53206
257,▁위험,-7.5354
258,▁정리,-7.53645
259,▁바닥으로,-7.53722
260,▁점검,-7.53751
261,▁동바리,-7.54731
262,▁못하고,-7.54849
263,조,-7.54926
264,▁무릎,-7.5528
265,▁시스템,-7.55418
266,성,-7.55455
267,형,-7.55646
268,게,-7.56598
269,화,-7.568
270,30,-7.57276
271,▁14,-7.57342
272,5,-7.57593
273,차,-7.57666
274,▁함께,-7.57722
275,▁재해임,-7.57975
276,▁사고가,-7.58407
277,▁위치,-7.58584
278,▁그라인더,-7.58681
279,건설,-7.59086
280,▁계단,-7.59241
281,나,-7.59537
282,▁낙하,-7.59549
283,▁부재,-7.5962
284,▁설치된,-7.61284
285,사,-7.61341
286,구간,-7.62308
287,▁사항,-7.6257
288,▁때에는,-7.62992
289,▁미끄러짐,-7.6366
290,▁밟고,-7.63819
291,던,-7.64429
292,명,-7.64805
293,▁말비계,-7.64873
294,▁16,-7.65018
295,번,-7.6503
296,▁13,-7.65224
297,▁한,-7.6552
298,▁확인하여야,-7.65777
299,▁로프,-7.65917
300,▁순간,-7.66209
