doc_code,t1,t2,t3,t4,c1,c2,c3,c4,title,content,image,table,appendix,math_exp,attachment,reference,enclosure_image,enclosure,asterisk,appendix_table
C-102-2014,4.,,,,,,,,사업주의 의무,,,,,,,,,,,
C-102-2014,4.,,,,(1),,,,,사업주는 중량물 취급 작업을 하는 경우에는 그 작업에 따른 떨어짐․넘어짐․뒤집힘․깔림․부딪힘․맞음․무너짐․끼임 등의 위험을 예방할 수 있는 안전대책에 관한 작업계획서를 작성하고 그 계획에 따라 작업을 하도록 하여야 한다.,,,,,,,,,,
C-102-2014,4.,,,,(2),,,,,사업주는 (1)항에 따라 작성한 작업계획서의 내용을 해당 근로자에게 알려야 한다.,,,,,,,,,,
C-102-2014,4.,,,,(3),,,,,사업주는 (1)항의 작업계획서를 작성한 경우 작업지휘자를 지정하여 작업계획서에 따라 작업을 지휘하도록 하여야 한다.,,,,,,,,,,
C-102-2014,4.,,,,(4),,,,,사업주는 이동식 크레인을 이용하여 중량물을 운반하거나 취급하는 작업을 할 경우에는 일정한 신호방법을 정하여 신호하도록 하여야 한다.,,,,,,,,,,
C-102-2014,5.,,,,,,,,작업계획서 작성시기 및 승인,,,,,,,,,,,
C-102-2014,5.,,,,(1),,,,,작업계획서는 다음 각 목에 해당하는 경우에 작성하여야 한다.,,,,,,,,,,
C-102-2014,5.,,,,(1),(가),,,,중량물 취급 작업이 시작되기 전,,,,,,,,,,
C-102-2014,5.,,,,(1),(나),,,,일상작업은 최초 작업개시 전,,,,,,,,,,
C-102-2014,5.,,,,(1),(다),,,,작업 위치 또는 작업 경로가 변경되었을 경우 작업 전,,,,,,,,,,
C-102-2014,5.,,,,(1),(라),,,,이동식 크레인의 기종이 변경되었을 경우 작업 전,,,,,,,,,,
C-102-2014,5.,,,,(2),,,,,작성된 작업계획서는 중량물 취급 작업이 시작되기 전에 안전보건관리책임자 또는 현장소장의 승인을 받아야 한다.,,,,,,,,,,
C-102-2014,5.,,,,(3),,,,,작업 참여자는 당해 작업이 시작되기 전에 작성된 작업계획서 내용을 확인하여야 한다.,,,,,,,,,,
C-102-2014,6.,,,,,,,,작업계획서 작성 내용,취급 작업계획서 작성 시에는 다음 각 호의 내용들이 포함된 작업계획서를 작성하여야 한다.,,,,,,,,,,
C-102-2014,6.,6.1,,,,,,,중량물 취급 작업 회사 및 이동식 크레인 현황,,,,,,,,,,,
C-102-2014,6.,6.1,,,(1),,,,,중량물 취급 작업 회사 현황,,,,,,,,,,
C-102-2014,6.,6.1,,,(1),(가),,,,"회사명, 주소",,,,,,,,,,
C-102-2014,6.,6.1,,,(1),(나),,,,"전화번호, 현장소장",,,,,,,,,,
C-102-2014,6.,6.1,,,(2),,,,,이동식 크레인 현황,,,,,,,,,,
C-102-2014,6.,6.1,,,(2),(가),,,,기종/모델명,,,,,,,,,,
C-102-2014,6.,6.1,,,(2),(나),,,,성능,,,,,,,,,,
C-102-2014,6.,6.1,,,(2),(다),,,,크레인 소유 회사명,,,,,,,,,,
C-102-2014,6.,6.1,,,(2),(라),,,,운전원명,,,,,,,,,,
C-102-2014,6.,6.1,,,(2),(마),,,,운전원 자격,,,,,,,,,,
C-102-2014,6.,6.1,,,(2),(바),,,,검사유효기간,,,,,,,,,,
C-102-2014,6.,6.2,,,,,,,작업개요,,,,,,,,,,,
C-102-2014,6.,6.2,,,(1),,,,,작업일시,,,,,,,,,,
C-102-2014,6.,6.2,,,(2),,,,,작업장소,,,,,,,,,,
C-102-2014,6.,6.2,,,(3),,,,,작업내용,,,,,,,,,,
C-102-2014,6.,6.2,,,(4),,,,,작업 참여자 성명,,,,,,,,,,
C-102-2014,6.,6.2,,,(4),(가),,,,관리감독자,,,,,,,,,,
C-102-2014,6.,6.2,,,(4),(나),,,,작업지휘자,,,,,,,,,,
C-102-2014,6.,6.2,,,(4),(다),,,,이동식 크레인 운전원(조종원),,,,,,,,,,
C-102-2014,6.,6.2,,,(4),(라),,,,줄걸이 작업자,,,,,,,,,,
C-102-2014,6.,6.2,,,(4),(마),,,,줄걸이 보조자,,,,,,,,,,
C-102-2014,6.,6.2,,,(4),(바),,,,신호수,,,,,,,,,,
C-102-2014,6.,6.2,,,(5),,,,,신호방법,,,,,,,,,,
C-102-2014,6.,6.3,,,,,,,작업조건,,,,,,,,,,,
C-102-2014,6.,6.3,,,(1),,,,,필요 작업 반경,,,,,,,,,,
C-102-2014,6.,6.3,,,(2),,,,,인양물의 크기,,,,,,,,,,
C-102-2014,6.,6.3,,,(3),,,,,인양물의 하중,,,,,,,,,,
C-102-2014,6.,6.3,,,(4),,,,,인양 높이,,,,,,,,,,
C-102-2014,6.,6.4,,,,,,,이동식 크레인 능력,,,,,,,,,,,
C-102-2014,6.,6.4,,,(1),,,,,작업 가능 반경,,,,,,,,,,
C-102-2014,6.,6.4,,,(2),,,,,붐 또는 지브의 길이,,,,,,,,,,
