doc_code,t1,t2,t3,t4,c1,c2,c3,c4,title_category,content+category,gruop,title,content,image,table,appendix,math_exp,attachment,reference,enclosure_image,enclosure,asterisk,appendix_table
C-07-2012,4.,,,,,,,,,,,시트 작업 안전기준,,,,,,,,,,,
C-07-2012,4.,4.1,,,,,,,,,,작업 시 안전사항,,,,,,,,,,,
C-07-2012,4.,4.1,4.1.1,,,,,,,,,공통사항,,,,,,,,,,,
C-07-2012,4.,4.1,4.1.1,,(1),,,,,,,,작업을 위한 이동용 조명기구에는 보호망을 설치하고 운반 시 절연재를 잡고 이동하고 누전시 감전 예방을 위해 접지를 실시한다.,<그림 1>,,,,,,,,,
C-07-2012,4.,4.1,4.1.1,,(2),,,,,,,,가설 전선은 가급적 켑타이어 케이블을 사용하고 노후․손상된 전선은 사용 금지를 하며 작업 시 전선은 정리 정돈을 실시한다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.1,,(3),,,,,,,,야간작업 시 조명기구를 충분히 설치하여 적정 조도를 (75lux 이상) 유지하도록 한다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.1,,(4),,,,,,,,작업 공정 외 자재 반입을 지양하고 작업 장소에는 작업 당일에 사용할 수 있는 양만 반입하도록 한다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.1,,(5),,,,,,,,시트 등 자재를 하역․운반할 경우에는 사전에 준비운동(요통 체조)을 충분히 하여 몸을 유연하게 한 후 운반토록 한다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.1,,(6),,,,,,,,"아스팔트, 프라이머 등 유해․위험 물질에 대한 물질안전보건자료(MSDS)를 작성하여 근로자가 잘 보이는 곳에 게시하고 안전교육을 실시한다.",,,,,,,,,,
C-07-2012,4.,4.1,4.1.1,,(7),,,,,,,,"유해․위험 물질은 별도의 보관 장소를 마련하여 보관하고, 작업 장소에는 작업에 필요한 양만 반입한다.",,,,,,,,,,
C-07-2012,4.,4.1,4.1.2,,,,,,,,,바탕 정리,,,,,,,,,,,
C-07-2012,4.,4.1,4.1.2,,(1),,,,,,,,"바탕 면은 정, 망치, 빗자루, 브레이커, 노루발 못뽑이 등을 이용하여 바탕면의 이물질 제거 및 결손 부분을 보수하여 바닥의 평활도를 높이고, 특히 높은 부위에 있는 거푸집 긴결재(Form tie) 등을 절단할 때에는 안전한 작업발판을 사용하고 깡통 또는 벽돌 등을 놓고 올라가서 작업하지 않도록 한다.",,,,,,,,,,
C-07-2012,4.,4.1,4.1.2,,(2),,,,,,,,노루발 못뽑이를 이용하여 핀을 절단할 경우에는 노루발 못뽑이에 핀을 깊숙이 끼우지 않고 절단하려다가 핀이 튀어 작업자의 얼굴에 맞을 우려가 있으므로 핀이 완전히 삽입된 상태에서 절단하도록 한다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.2,,(3),,,,,,,,전동 브레이커 작업 시 습기․땀에 젖은 상태로 작업할 경우 누전에 의한 감전 위험이 있으므로 습기․땀에 젖은 상태로 작업을 하지 않도록 주지시킨다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.2,,(4),,,,,,,,"전동 브레이커는 누전 시 감전재해 예방을 위해 접지를 실시하며, 가급적 이중 절연 구조로 제작된 브레이커를 사용한다.",,,,,,,,,,
C-07-2012,4.,4.1,4.1.2,,(5),,,,,,,,정․망치 등을 이용하여 벽체 등의 바탕 정리 작업 시 콘크리트 파편 등의 비래에 의해 얼굴 또는 눈을 다칠 수 있으므로 보안경 등 보호구를 착용하여야 한다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.2,,(6),,,,,,,,"뒤로 물러나며 바닥에 시트를 부착하는 작업을 하는 경우에는 전도 재해를 예방하기 위해 근로자가 이동하는 경로에는 걸려 넘어질 우려가 있는 물건 등을 제거하고, 추락 위험이 있는 개구부 및 구조물의 단부에는 덮개 또는 안전 난간을 설치한다.",,,,,,,,,,
C-07-2012,4.,4.1,4.1.3,,,,,,,,,프라이머(Primer) 도포,,,,,,,,,,,
C-07-2012,4.,4.1,4.1.3,,(1),,,,,,,,프라이머 도포시 롤러(Roller)의 자루를 길게 하여 상체를 세운 상태로 작업하도록 주지를 시킨다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.3,,(2),,,,,,,,프라이머 도포된 표면에 물기 등이 있는 경우 미끄러질 위험이 있으므로 물기를 제거하거나 통행을 제한한다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.3,,(3),,,,,,,,"개구부에는 추락을 방지하기 위해 덮개를 설치하여야 하며, 작업자가 임으로 제거하지 못하도록 단단히 고정하여야 한다.",,,,,,,,,,
C-07-2012,4.,4.1,4.1.3,,(4),,,,,,,,뒷걸음질로 물러나며 작업할 경우에는 개구부 또는 구조물 단부로 추락할 위험이 있으므로 작업 시 항시 이동경로 바닥면을 확인하며 작업한다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.4,,,,,,,,,시트 붙임,,,,,,,,,,,
C-07-2012,4.,4.1,4.1.4,,(1),,,,,,,,불대(Torch)를 이용하여 시트 붙임 작업 시 작업 면을 따라 이동함에 따라가 가스호스가 짧아 당겨질 때 가스 용기가 넘어지지 않도록 고정한다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.4,,(2),,,,,,,,방수 시트(Sheet)를 녹여 붙이기 위해 불대를 든 채 뒤로 물러서며 작업할 경우 전도의 우려가 있으므로 주의하고 작업자 혼자서 작업할 경우 시트를 누르고 있는 손이 불대에 닿아 화상을 당할 우려가 있으므로 2인 1조로 작업한다.,<그림 2>,,,,,,,,,
C-07-2012,4.,4.1,4.1.4,,(3),,,,,,,,가스 용기는 확인이 용이한 장소에 배치하며 노후된 가스호스는 즉시 교체하고 계기 연결 부위에서 가스가 새어 나와 화재․폭발의 우려가 있으므로 작업 전 연결 부위를 비눗물 등으로 점검하도록 한다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.4,,(4),,,,,,,,불대에 불꽃 점화 시 가스의 토출량이 너무 많지 않게 밸브를 천천히 열어 착화시키고 주변 인화물질을 제거한다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.4,,(5),,,,,,,,가스용기는 넘어지지 않도록 전용의 운반구를 이용하거나 구조물에 단단히 묶어세운 채로 보관하고 화기가 있는 장소에는 가스용기를 비치하지 않도록 한다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.4,,(6),,,,,,,,화재의 위험이 있으므로 소화기를 충분히 비치하고 근로자를 대상으로 소화기 사용법 등 화재예방교육을 실시한다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.4,,(7),,,,,,,,추락 위험이 있는 곳은 개구부 덮개 또는 안전 난간 등 방호조치를 철저히 한다.,,,,,,,,,,
C-07-2012,4.,4.1,4.1.4,,(8),,,,,,,,"벽체에 시트 접착 시 아래에서 위로 붙이며 2m 이상 고소 작업인 경우에는 비계 등을 이용하여 안전한 작업발판 및 안전 난간를 설치하고 안전대, 안전모 등 개인보호구를 착용하고 작업한다.",,,,,,,,,,
C-07-2012,4.,4.1,4.1.5,,,,,,,,,보호 모르타르,,,,,,,,,,,
C-07-2012,4.,4.1,4.1.5,,(1),,,,,,,,"와이어 메시(Wire mesh) 운반․설치 시 신체에 찔림 또는 발이 걸려 넘어지는 등 위험이 있으므로 안전장갑, 안전모 등 개인보호구를 착용한다.",,,,,,,,,,
C-07-2012,4.,4.1,4.1.5,,(2),,,,,,,,"구조물 단부에 접근하여 와이어 메시 설치, 모르타르 면 고름질 작업을 할 경우에는 안전 난간을 설치하거나 관리감독자를 배치하여 관리 감독 한다.",,,,,,,,,,
