doc_code,t1,t2,t3,t4,c1,c2,c3,c4,title_category,content_category,group,title,content,image,picture,table,appendix,math_exp,attachment,reference,enclosure_image,enclosure,asterisk,appendix_table
C-08-2015,4.,,,,,,,,,,,작업발판의 구조 및 설치 기준,,,,,,,,,,,,
C-08-2015,4.,4.1,,,,,,,,,,목재 작업발판,"작업장의 작업발판은 고용노동부 고시 제2013-54호(방호장치 의무안전인증 고시) 에 맞는 제품을 사용하여야 하나, 부득이 목재 작업발판을 사용하여야 할 경우에는 다음의 규정에 적합하여야 한다.
",,,,,,,,,,,
C-08-2015,4.,4.1,,,(1),,,,,,,,"작업발판으로 사용할 판재의 치수는 폭이 두께의 5~6배 이상 되어야 하고 작업 발판의 폭은 40㎝ 이상, 두께는 3.5㎝ 이상, 길이는 3.6m 이내 이어야 한다.",,,,,,,,,,,
C-08-2015,4.,4.1,,,(2),,,,,,,,2개의 바닥재를 평행으로 사용할 경우 바닥재 사이의 틈은 3㎝ 이하 이어야 한다.,,,,,,,,,,,
C-08-2015,4.,4.1,,,(3),,,,,,,,작업발판의 장방향 이음은 맞댄 이음으로 해야 한다.,,,,,,,,,,,
C-08-2015,4.,4.1,,,(4),,,,,,,,건물 벽체와 작업발판과의 간격은 30㎝ 이내로 한다.,,,,,,,,,,,
C-08-2015,4.,4.1,,,(5),,,,,,,,작업발판에 설치하는 발끝막이판은 높이 10㎝ 이상이 되도록 해야 한다.,,,,,,,,,,,
C-08-2015,4.,4.1,,,(6),,,,,,,,작업발판 1개당 최소 3개소 이상 장선에 지지하여 전위하거나 탈락하지 않도록 철선 등으로 고정하여야 한다.,,,,,,,,,,,
C-08-2015,4.,4.1,,,(7),,,,,,,,발판 끝부분의 돌출 길이는 10㎝ 이상 20㎝ 이하가 되도록 한다.,,,,,,,,,,,
C-08-2015,4.,4.1,,,(8),,,,,,,,작업발판은 재료가 놓여있더라도 통행을 위하여 최소 20㎝ 이상의 공간이 확보되어야 한다.,,,,,,,,,,,
C-08-2015,4.,4.1,,,(9),,,,,,,,작업발판은 사용할 때 하중과 장선의 지지 간격에 따라서 응력의 상태가 달라지므로 〈표 1〉에 의한 허용응력을 초과하지 않도록 한다.,<그림 1>,,<표 1>,,,,,,,,
C-08-2015,4.,4.2,,,,,,,,,,강재 작업발판,"강재 작업발판은 작업대, 통로용 작업발판 및 작업 계단으로 구분되며 작업자의 통로 및 작업 공간으로 사용되는 발판이다.
",,,,,,,,,,,
C-08-2015,4.,4.2,4.2.1,,,,,,,,,작업대,"작업대는 〈그림 2〉와 같이 바닥재, 수평재, 보재 및 걸침 고리로 구성되며 다음 각 호의 규정에 적합하여야 한다.
",,,,,,,,,,,
C-08-2015,4.,4.2,4.2.1,,(1),,,,,,,,"작업대는 바닥재를 수평재와 보재에 용접하거나, 절판 가공 등에 의하여 일체화된 바닥재 및 수평재에 보재를 용접한 것이어야 한다.",,,,,,,,,,,
C-08-2015,4.,4.2,4.2.1,,(2),,,,,,,,걸침 고리 중심 간의 긴 쪽 방향의 길이는 185㎝ 이하 이어야 한다.,,,,,,,,,,,
C-08-2015,4.,4.2,4.2.1,,(3),,,,,,,,바닥재의 폭은 24㎝ 이상이어야 한다.,,,,,,,,,,,
C-08-2015,4.,4.2,4.2.1,,(4),,,,,,,,2개 이상의 바닥재를 평행으로 설치할 경우에 바닥재 간의 간격은 3㎝ 이하 이어야 한다.,,,,,,,,,,,
C-08-2015,4.,4.2,4.2.1,,(5),,,,,,,,걸침 고리는 수평재 또는 보재에 용접 또는 리벳 등으로 접합하여야 한다.,,,,,,,,,,,
C-08-2015,4.,4.2,4.2.1,,(6),,,,,,,,바닥재의 바닥판(디딤판)에는 미끄럼방지조치를 하여야 한다.,,,,,,,,,,,
C-08-2015,4.,4.2,4.2.1,,(7),,,,,,,,작업대는 재료가 놓여 있더라도 통행을 위하여 최소 20㎝ 이상의 공간을 확보하여야 한다.,,,,,,,,,,,
C-08-2015,4.,4.2,4.2.1,,(8),,,,,,,,작업대에 설치하는 발끝 막이 판은 높이 10㎝ 이상이 되도록 한다.,,,,,,,,,,,
C-08-2015,4.,4.2,4.2.1,,(9),,,,,,,,작업대 또는 통로용 작업발판을 경사지게 설치할 경우에는 30° 이내로 설치하여야 한다.,<그림 2>,,,,,,,,,,
