doc_code,t1,t2,t3,t4,c1,c2,c3,c4,title_category,content_category,group,title,content,image,table,appendix,math_exp,attachment,reference,enclosure_image,enclosure,asterisk,appendix_table
C-104-2014,4.,,,,,,,,,,,굴착사면 안전 사항,,,,,,,,,,,
C-104-2014,4.,4.1,,,,,,,,,,사전 검토사항,,,,,,,,,,,
C-104-2014,4.,4.1,,,(1),,,,,,,,"굴착공사 전에 설계도면과 사면안정해석 등의 내용을 검토하여 굴착사면의 위치, 지반의 종류 및 특성, 함수량 정도 등의 설계조건과 현장조건을 비교 검토하여 굴착사면의 안전기울기의 적정성 여부를 파악한다.",,,,,,,,,,
C-104-2014,4.,4.1,,,(2),,,,,,,,굴착사면의 안전기울기 사전검토 시 굴착장소 및 그 주변지반에 대하여 다음 각 목을 조사하여 평가한다.,,,,,,,,,,
C-104-2014,4.,4.1,,,(2),(가),,,,,,,지반 형상·지질 및 지층의 상태,,,,,,,,,,
C-104-2014,4.,4.1,,,(2),(나),,,,,,,균열·함수·용수 및 동결의 유무 또는 상태,,,,,,,,,,
C-104-2014,4.,4.1,,,(2),(다),,,,,,,지하매설물 도면 확인 및 매설물 등의 유무 또는 상태,,,,,,,,,,
C-104-2014,4.,4.1,,,(2),(라),,,,,,,지반의 지하수위 상태,,,,,,,,,,
C-104-2014,4.,4.1,,,(2),(마),,,,,,,사면 보호공의 설치계획,,,,,,,,,,
C-104-2014,4.,4.1,,,(3),,,,,,,,"굴착 시 굴착사면의 무너짐에 의한 재해를 방지하기 위하여 다음 각 목을 작업 전, 작업 중, 작업 이후, 우기 이후에 개별적으로 실시하여 점검하여야 한다.",,,,,,,,,,
C-104-2014,4.,4.1,,,(3),(가),,,,,,,사면 상부의 지표면 변화 확인,,,,,,,,,,
C-104-2014,4.,4.1,,,(3),(나),,,,,,,사면의 지층 변화부 상황 확인,,,,,,,,,,
C-104-2014,4.,4.1,,,(3),(다),,,,,,,부석의 상황 변화 확인,,,,,,,,,,
C-104-2014,4.,4.1,,,(3),(라),,,,,,,결빙과 해빙에 대한 상황의 확인,,,,,,,,,,
C-104-2014,4.,4.1,,,(3),(마),,,,,,,각종 경사면 보호공의 변위 및 탈락 유무,,,,,,,,,,
C-104-2014,4.,4.2,,,,,,,,,,일반 검토사항,,,,,,,,,,,
C-104-2014,4.,4.2,,,(1),,,,,,,,굴착작업 시 주변지반이 침하하는 것에 주의하고 관계자의 입회하에 굴착사면의 안전에 필요한 조치를 취하여야 한다.,,,,,,,,,,
C-104-2014,4.,4.2,,,(2),,,,,,,,"굴착공사 진행 중 사전 조사된 결과와 상이한 상태가 발생한 경우 굴착사면의 안전기울기 보완을 위한 정밀조사를 실시하여야 하며, 그 결과에 따라 안전기울기를 변경해야 할 필요가 있을 때에는 안전기울기 기준이 결정될 때까지 해당 위험작업을 중지하여야 한다.",,,,,,,,,,
C-104-2014,4.,4.2,,,(3),,,,,,,,굴착작업 시 지반의 지질 상태에 따라 굴착사면의 기울기를 안전하게 유지하여 무너짐 위험에 대비하여야 한다.,,,,,,,,,,
C-104-2014,4.,4.3,,,,,,,,,,지반종류별 준수사항,,,,,,,,,,,
C-104-2014,4.,4.3,,,(1),,,,,,,,"지반의 종류에 따라 굴착사면의 안전기울기를 준수하여야 하며, 필요시 충분한 보강을 실시해야 한다.",,,,,,,,,,
C-104-2014,4.,4.3,,,(2),,,,,,,,"자연지반은 매우 복잡하고 불균질하며，굴착사면은 굴착후 시간이 경과함에 따라 점차 불안정해지며, 강우 등의 주변 환경 변화에 따라 사면안정성 이 저하되므로 이들을 고려한 안정성 검토 및 보호ㆍ보강대책이 이루어져야 한다.",,,,,,,,,,
C-104-2014,4.,4.3,,,(3),,,,,,,,"리핑암의 경우 사면 높이가 10m 이상일 경우에는 매 5.0m 마다 폭 1m 의 소단을 설치하도록 한다. 또한 사면 높이에 관계없이 흙과 암과의 경계나 투수층과 불투수층과의 경계에는 필요에 따라 소단을 설치하고, 용수발생 시 소단에 유도 배수로를 설치하여야 한다.",,,,,,,,,,
C-104-2014,4.,4.3,,,(4),,,,,,,,"발파암은 굴착난이도 및 암반 강도에 따라 사면기울기와 소단을 적절하게 적용하여야 하며, 연암 및 보통암인 경우 사면높이 10m 마다 1∼2m 폭의 소단을 설치하고, 경암질인 경우에는 사면높이 20 m마다 폭 1∼2 m의 소단을 설치하며, 리핑암과 발파암의 경계와 암반의 특성이 급격히 변화하는 곳에도 폭 1∼2m의 소단을 추가 설치한다.",,,,,,,,,,
